code,quality_value_assets_debt_ratio,quality_value_basic_eps,quality_value_calc_per_net_assets,quality_value_calculate_operating_income_total_yoy_growth_ratio,quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_value_deduct_net_profit_yoy_growth_ratio,quality_value_equity_ratio,quality_value_index_deduct_holder_net_profit,quality_value_index_full_diluted_roe,quality_value_index_per_operating_cash_flow_net,quality_value_index_weighted_avg_roe,quality_value_operating_income_total,quality_value_parent_holder_net_profit,quality_value_per_capital_reserve,quality_value_per_undistributed_profits,quality_value_sale_net_interest_ratio,quality_single_basic_eps,quality_single_calculate_operating_income_total_yoy_growth_ratio,quality_single_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_deduct_net_profit_yoy_growth_ratio,quality_single_index_deduct_holder_net_profit,quality_single_index_full_diluted_roe,quality_single_index_per_operating_cash_flow_net,quality_single_index_weighted_avg_roe,quality_single_operating_income_total,quality_single_parent_holder_net_profit,quality_single_sale_net_interest_ratio,quality_yoy_assets_debt_ratio,quality_yoy_basic_eps,quality_yoy_calc_per_net_assets,quality_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_yoy_deduct_net_profit_yoy_growth_ratio,quality_yoy_equity_ratio,quality_yoy_index_deduct_holder_net_profit,quality_yoy_index_full_diluted_roe,quality_yoy_index_per_operating_cash_flow_net,quality_yoy_index_weighted_avg_roe,quality_yoy_operating_income_total,quality_yoy_parent_holder_net_profit,quality_yoy_per_capital_reserve,quality_yoy_per_undistributed_profits,quality_yoy_sale_net_interest_ratio,quality_mom_basic_eps,quality_mom_calculate_operating_income_total_yoy_growth_ratio,quality_mom_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_mom_deduct_net_profit_yoy_growth_ratio,quality_mom_index_deduct_holder_net_profit,quality_mom_index_full_diluted_roe,quality_mom_index_per_operating_cash_flow_net,quality_mom_index_weighted_avg_roe,quality_mom_operating_income_total,quality_mom_parent_holder_net_profit,quality_mom_sale_net_interest_ratio,quality_single_yoy_basic_eps,quality_single_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_single_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_yoy_deduct_net_profit_yoy_growth_ratio,quality_single_yoy_index_deduct_holder_net_profit,quality_single_yoy_index_full_diluted_roe,quality_single_yoy_index_per_operating_cash_flow_net,quality_single_yoy_index_weighted_avg_roe,quality_single_yoy_operating_income_total,quality_single_yoy_parent_holder_net_profit,quality_single_yoy_sale_net_interest_ratio,statDate,pubDate,quality_value_business_cycle,quality_value_conservative_quick_ratio,quality_value_current_ratio,quality_value_inventory_turnover_days,quality_value_inventory_turnover_ratio,quality_value_quick_ratio,quality_value_receive_accounts_turnover_days,quality_value_sale_gross_margin,quality_single_sale_gross_margin,quality_yoy_business_cycle,quality_yoy_conservative_quick_ratio,quality_yoy_current_ratio,quality_yoy_inventory_turnover_days,quality_yoy_inventory_turnover_ratio,quality_yoy_quick_ratio,quality_yoy_receive_accounts_turnover_days,quality_yoy_sale_gross_margin,quality_mom_sale_gross_margin,quality_single_yoy_sale_gross_margin
sh600519,12.853,3.47,50.6004,15.545618,17.989888,17.8546,0.153,4366636015.79,7.5536,1.8491,7.85,8760367928.22,4364901720.89,1.204,43.7225,54.1687,3.8222,15.545618,17.989888,17.8546,4366636015.79,7.8494,1.8491,7.85,8760367928.22,4364901720.89,54.1687,-0.16028041,0.07098765,0.13491218,1.67809955,5.08152746,10.94297488,-0.17431193,0.17854599,-0.05487851,10.03940299,-0.05649038,0.15545618,0.17989888,-0.09090909,0.14508965,0.02087982,-0.06261189,0.44475816,0.2398508,0.24245672,-0.07670714,-0.1388575,-0.57367487,-0.12192394,-0.12779706,-0.06261676,0.09094296,0.07265737,1.67809955,5.08152746,10.94297488,0.17854599,-0.05675523,10.03940299,-0.05649038,0.15545618,0.17989888,0.02087982,2015-03-31,2015-05-15,2374.6955,3.5636,5.7196,2374.6702,0.0379,3.5636,0.0253,93.2142,93.2142,0.08971046,0.27791723,0.21026683,0.08970975,-0.08232446,0.27791723,0.16055046,0.0002028,0.00839153,0.0002028
sh600519,11.9937,6.28,53.6817,10.742002,9.106386,8.8267,0.1415,7889895890.08,12.8673,4.2922,13.75,16185651569.47,7888232276.17,1.204,46.7764,53.0116,3.0852,5.564254,-0.202155,-0.6093,3523259874.29,5.9171,2.4431,5.9,7425283641.25,3523330555.28,51.6451,-0.22937495,-0.00789889,0.35398464,2.17569902,37.48391827,4.40799228,-0.2544784,0.08826681,-0.19418211,0.1429104,-0.12084399,0.10742002,0.09106386,0.0,0.42620976,-0.00944743,-0.19282089,-0.6420693,-1.01123715,-1.03412566,-0.19314093,-0.24617168,0.32123736,-0.24840764,-0.15240048,-0.19280415,-0.04658779,-0.00203785,5.23127455,0.94059726,0.82114131,-0.00609341,-0.23268148,-0.31909142,-0.19398907,0.05564254,-0.00202155,-0.04382351,2015-06-30,2015-09-13,2412.8953,3.9731,6.1491,2412.8686,0.0746,3.9731,0.0267,92.611,91.8987,0.05630277,0.58240401,0.36485917,0.05630023,-0.05329949,0.58240401,0.34848485,-0.0053005,-0.01411266,-0.01190675
sh600519,20.1655,9.09,47.6422,7.040289,6.838923,6.7562,0.2613,11520504950.25,19.0894,9.0936,19.69,23734319250.48,11424637743.71,1.0945,41.2719,52.3865,2.8152,-0.118434,2.105691,2.5175,3630609060.17,5.8379,4.8014,5.94,7548667681.01,3536405467.54,51.0481,0.42323274,0.06815511,0.11626261,8.06521277,3.0088931,2.45648565,0.53255132,0.0675618,-0.12989931,0.35230872,-0.14465682,0.07040289,0.06838923,-0.09094684,0.15186182,0.00015082,-0.08751459,-1.02128479,11.41622023,5.13179058,0.03046871,-0.01338494,0.96529,0.00677966,0.01661674,0.00371095,-0.01155966,-0.07174888,0.96969141,1.22433253,1.29358258,0.02517508,-0.20763603,0.6171775,-0.19512195,-0.00118434,0.02105691,0.01742137,2015-09-30,2015-11-14,2423.7458,2.4982,3.6676,2423.6984,0.1114,2.4982,0.0474,92.4529,92.1144,0.13107105,-0.14177746,-0.27570749,0.13105928,-0.11587302,-0.14177746,1.41836735,-0.00227489,0.00234715,0.00331336
sh600519,23.2526,12.34,50.8885,3.816734,0.998618,0.6187,0.3139,15616866431.94,24.2516,13.8803,26.23,33446859045.58,15503090276.38,1.0945,43.6866,50.3834,3.2467,-3.299658,-12.413307,-13.3855,4096361481.69,6.5902,4.7867,6.54,9712539795.1,4078452532.67,45.5079,0.45026913,0.00981997,0.08766789,0.0342438,-0.29088974,0.37948718,0.58775923,0.00618737,-0.15583774,0.25479578,-0.17928661,0.03816734,0.00998618,-0.09094684,0.09489402,-0.02221127,0.15327508,-26.86073256,-6.89512279,-6.31698113,0.12828493,0.12886483,-0.00306161,0.1010101,0.28665616,0.15327628,-0.10852901,-0.2037523,-1.30665927,-1.85551665,-1.93146329,-0.13385469,-0.2770019,0.10361285,-0.26845638,-0.03299658,-0.12413307,-0.08348321,2015-12-31,2016-04-29,2339.2063,2.2698,3.2418,2339.1813,0.1539,2.2698,0.025,92.2279,91.6802,0.13319913,-0.19484942,-0.28146818,0.13320338,-0.11754587,-0.19484942,-0.16107383,-0.00394737,-0.0047137,-0.00820329
sh600519,21.7765,3.89,54.7834,17.014122,12.013326,11.9005,0.287,4886287212.46,7.1046,5.9195,7.37,10250867583.69,4889271595.32,1.0945,47.5787,52.1795,3.8921,17.014122,12.013326,11.9005,4886287212.46,7.3664,5.9195,7.37,10250867583.69,4889271595.32,52.1795,0.69427371,0.12103746,0.08266733,0.09446418,-0.33221785,-0.33347709,0.87581699,0.11900493,-0.05944186,2.20128711,-0.0611465,0.17014122,0.12013326,-0.09094684,0.08819715,-0.03672231,0.19878646,6.15632893,1.96777805,1.88905906,0.19283594,0.11778095,0.23665573,0.12691131,0.05542606,0.19880557,0.14660312,0.0182879,0.09446418,-0.33221785,-0.33347709,0.11900493,-0.06153337,2.20128711,-0.0611465,0.17014122,0.12013326,-0.03672231,2016-03-31,2016-05-15,2147.9735,2.4655,3.5023,2147.9714,0.0419,2.4857,0.0021,92.3414,92.3414,-0.09547414,-0.30814345,-0.38766697,-0.09546538,0.1055409,-0.30247503,-0.91699605,-0.00936338,0.00721203,-0.00936338
sh600519,29.5075,7.01,51.7267,15.766838,11.592012,11.5217,0.4339,8798948190.99,13.5469,10.8295,12.88,18737617091.82,8802637138.02,1.0945,43.8277,51.599,3.1152,14.29529,11.070065,11.0523,3912660978.53,5.8497,4.91,5.51,8486749508.13,3913365542.7,50.8905,1.46024996,0.11624204,-0.03641837,0.46777463,0.27295417,0.30532362,2.0664311,0.11521727,0.05281605,1.52306509,-0.06327273,0.15766838,0.11592012,-0.09094684,-0.0630382,-0.026647,-0.19960947,-0.15979855,-0.07851789,-0.07127432,-0.19925686,-0.20589433,-0.17053805,-0.25237449,-0.17209451,-0.19960152,-0.02470319,0.00972384,1.56912966,55.76028295,19.13934023,0.11052296,-0.01139072,1.00974172,-0.06610169,0.1429529,0.11070065,-0.01461126,2016-06-30,2016-09-13,2224.9754,1.9245,2.6245,2224.9691,0.0809,1.9245,0.0063,91.8814,91.3201,-0.0778815,-0.51561753,-0.57318957,-0.0778739,0.0844504,-0.51561753,-0.76404494,-0.00787811,-0.01106004,-0.00629606
sh600519,32.2052,9.92,54.6433,16.003897,9.111361,8.8952,0.4933,12545273396.48,18.1601,25.8998,18.45,27532735151.02,12465577764.14,1.0945,46.7436,50.0535,2.9159,16.51219,3.578073,3.1872,3746325205.49,5.4826,15.0703,5.57,8795118059.2,3662940626.12,46.7331,0.59704446,0.09130913,0.14695165,1.27318751,0.3322801,0.31659809,0.88786835,0.0889517,-0.04868147,1.84813495,-0.06297613,0.16003897,0.09111361,0.0,0.13257689,-0.04453437,-0.06397663,0.15507905,-0.6767794,-0.71162563,-0.04251219,-0.06275535,2.06930754,0.01088929,0.0363353,-0.06399221,-0.08169305,0.03577011,140.42102775,0.69923935,0.26601787,0.03187238,-0.06086093,2.13873037,-0.06228956,0.1651219,0.03578073,-0.08452812,2016-09-30,2016-11-14,2231.4493,1.8731,2.4671,2231.405,0.121,1.8731,0.0443,91.6439,91.1334,-0.07933856,-0.25022016,-0.32732577,-0.07933883,0.08617594,-0.25022016,-0.06540084,-0.0087504,-0.00204446,-0.0106498
sh600519,32.7942,13.31,58.0276,20.056369,7.838905,8.5665,0.5081,16954689021.77,22.9351,29.8132,24.44,40155084412.93,16718362734.16,1.0945,49.9267,46.139,3.3854,29.959305,4.274475,7.6422,4409415625.29,6.0094,3.9134,5.99,12622349261.91,4252784970.02,37.6152,0.41034551,0.07860616,0.14028906,4.25485114,6.84975336,12.84596735,0.61866837,0.08566524,-0.05428508,1.14787865,-0.06824247,0.20056369,0.07838905,0.0,0.14283785,-0.08424203,0.16101375,0.81437502,0.19463046,1.39777861,0.17699756,0.0960858,-0.74032368,0.07540395,0.43515405,0.16103028,-0.19510582,0.0427203,10.07951824,1.34434619,1.57093123,0.07642249,-0.08813086,-0.18244302,-0.08409786,0.29959305,0.04274475,-0.17343582,2016-12-31,2017-04-30,2039.6601,1.8339,2.436,2039.6601,0.1765,1.8444,,91.2251,90.3134,-0.12805463,-0.19204335,-0.24856561,-0.12804531,0.1468486,-0.18741739,,-0.01087307,-0.0089978,-0.01490834
sh600519,30.6986,4.87,62.9023,35.72911,25.235819,25.8253,0.4622,6148184676.75,7.749,4.8631,8.06,13913411369.3,6123119324.13,1.0945,54.801,49.1773,4.8743,35.72911,25.235819,25.8253,6148184676.75,8.0614,4.8631,8.06,13913411369.3,6123119324.13,49.1773,0.4097123,0.25192802,0.1482,1.0999679,1.10065214,1.1701021,0.61045296,0.25825282,0.0907018,-0.17846102,0.0936228,0.3572911,0.25235819,0.0,0.15179692,-0.05753601,0.43980032,0.19258808,4.90384059,2.37930177,0.39433095,0.34146504,0.242679,0.34557596,0.10228382,0.43979048,0.3073784,0.25235734,1.0999679,1.10065214,1.1701021,0.25825282,0.09434731,-0.17846102,0.0936228,0.3572911,0.25235819,-0.05753601,2017-03-31,2017-05-15,1581.7223,2.0336,2.6264,1581.7223,0.0569,2.0336,,91.1561,91.1561,-0.26362113,-0.17517745,-0.2500928,-0.26362041,0.35799523,-0.18188036,,-0.01283606,0.00933084,-0.01283606
sh600519,34.3234,8.96,60.1996,36.057305,27.81239,28.1957,0.5464,11279876578.52,14.8776,5.5209,14.33,25493896745.03,11250860929.71,1.0945,51.3821,49.7909,4.082,36.45372,31.031501,31.1561,5131691901.77,6.6318,0.6578,6.27,11580485375.73,5127741605.58,50.5414,0.16320935,0.27817404,0.16380129,1.28690781,1.39927202,1.44718227,0.25927633,0.28195738,0.09822912,-0.49019807,0.11257764,0.36057305,0.2781239,0.0,0.17236588,-0.03504138,-0.16254642,0.02028066,0.22966094,0.20641774,-0.16533218,-0.17733892,-0.86473648,-0.22208437,-0.16767462,-0.16256056,0.02773841,0.31034926,1.5500511,1.8031905,1.81896981,0.31156058,0.13369916,-0.86602851,0.13793103,0.3645372,0.31031501,-0.00685983,2017-06-30,2017-09-13,1486.3749,1.8289,2.3581,1486.3749,0.1211,1.8289,,89.6187,87.7384,-0.33195895,-0.04967524,-0.10150505,-0.33195706,0.49690977,-0.04967524,,-0.02462631,-0.03749283,-0.03922138
