code,date,open,high,low,close,volume,money,turnover,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,quality_value_assets_debt_ratio,quality_value_basic_eps,quality_value_calc_per_net_assets,quality_value_calculate_operating_income_total_yoy_growth_ratio,quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_value_deduct_net_profit_yoy_growth_ratio,quality_value_equity_ratio,quality_value_index_deduct_holder_net_profit,quality_value_index_full_diluted_roe,quality_value_index_per_operating_cash_flow_net,quality_value_index_weighted_avg_roe,quality_value_operating_income_total,quality_value_parent_holder_net_profit,quality_value_per_capital_reserve,quality_value_per_undistributed_profits,quality_value_sale_net_interest_ratio,quality_single_basic_eps,quality_single_calculate_operating_income_total_yoy_growth_ratio,quality_single_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_deduct_net_profit_yoy_growth_ratio,quality_single_index_deduct_holder_net_profit,quality_single_index_full_diluted_roe,quality_single_index_per_operating_cash_flow_net,quality_single_index_weighted_avg_roe,quality_single_operating_income_total,quality_single_parent_holder_net_profit,quality_single_sale_net_interest_ratio,quality_yoy_assets_debt_ratio,quality_yoy_basic_eps,quality_yoy_calc_per_net_assets,quality_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_yoy_deduct_net_profit_yoy_growth_ratio,quality_yoy_equity_ratio,quality_yoy_index_deduct_holder_net_profit,quality_yoy_index_full_diluted_roe,quality_yoy_index_per_operating_cash_flow_net,quality_yoy_index_weighted_avg_roe,quality_yoy_operating_income_total,quality_yoy_parent_holder_net_profit,quality_yoy_per_capital_reserve,quality_yoy_per_undistributed_profits,quality_yoy_sale_net_interest_ratio,quality_mom_basic_eps,quality_mom_calculate_operating_income_total_yoy_growth_ratio,quality_mom_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_mom_deduct_net_profit_yoy_growth_ratio,quality_mom_index_deduct_holder_net_profit,quality_mom_index_full_diluted_roe,quality_mom_index_per_operating_cash_flow_net,quality_mom_index_weighted_avg_roe,quality_mom_operating_income_total,quality_mom_parent_holder_net_profit,quality_mom_sale_net_interest_ratio,quality_single_yoy_basic_eps,quality_single_yoy_calculate_operating_income_total_yoy_growth_ratio,quality_single_yoy_calculate_parent_holder_net_profit_yoy_growth_ratio,quality_single_yoy_deduct_net_profit_yoy_growth_ratio,quality_single_yoy_index_deduct_holder_net_profit,quality_single_yoy_index_full_diluted_roe,quality_single_yoy_index_per_operating_cash_flow_net,quality_single_yoy_index_weighted_avg_roe,quality_single_yoy_operating_income_total,quality_single_yoy_parent_holder_net_profit,quality_single_yoy_sale_net_interest_ratio,statDate,pubDate,quality_value_business_cycle,quality_value_conservative_quick_ratio,quality_value_current_ratio,quality_value_inventory_turnover_days,quality_value_inventory_turnover_ratio,quality_value_quick_ratio,quality_value_receive_accounts_turnover_days,quality_value_sale_gross_margin,quality_single_sale_gross_margin,quality_yoy_business_cycle,quality_yoy_conservative_quick_ratio,quality_yoy_current_ratio,quality_yoy_inventory_turnover_days,quality_yoy_inventory_turnover_ratio,quality_yoy_quick_ratio,quality_yoy_receive_accounts_turnover_days,quality_yoy_sale_gross_margin,quality_mom_sale_gross_margin,quality_single_yoy_sale_gross_margin
sh600519,2020-01-02,1128.0,1145.06,1116.0,1130.0,14809900.0,16696840000.0,0.011789,32.28346541767184,15.975629779239153,31.39758382698169,10.005217201850703,979.04350649468,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-03,1117.0,1117.0,1076.9,1078.56,13031900.0,14266380000.0,0.010374,30.813849797127943,15.24838334618602,29.968295519716808,9.549757315604246,934.4754879920292,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-06,1070.86,1092.9,1067.3,1077.99,6341500.0,6853920000.0,0.0050479999999999,30.79756596753743,15.240325213963825,29.952458530162627,9.544710668665228,933.9820849343693,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-07,1077.5,1099.0,1076.4,1094.53,4785400.0,5220700000.0,0.003809,31.270092681786195,15.474157355277448,30.412018770340325,9.691155058961312,948.3121720635174,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-08,1085.05,1095.5,1082.58,1088.14,2500800.0,2720370000.0,0.001991,31.087536396698123,15.383818490266885,30.23447196146963,9.634577635805575,942.7759256030106,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-09,1094.0,1105.39,1090.0,1102.7,3740600.0,4110950000.0,0.002978,31.50350182017648,15.589661001920453,30.639022993517088,9.763492681217109,955.3912102635044,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-10,1109.0,1115.99,1102.5,1112.5,3597600.0,3993460000.0,0.002864,31.78348816946254,15.72821360776884,30.911326315306933,9.850265405332,963.8817719491165,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-13,1112.5,1129.2,1112.0,1124.27,3851600.0,4325690000.0,0.003066,32.1197628961739,15.89462079078194,31.238373420821077,9.954482893656488,974.079641096338,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-14,1124.2,1124.89,1103.0,1107.4,3514500.0,3916300000.0,0.002798,31.637775185961942,15.656106829629724,30.7696118012376,9.805106373295276,959.4635760816872,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
sh600519,2020-01-15,1109.01,1121.6,1105.0,1112.13,2602900.0,2895600000.0,0.002072,31.772912777340203,15.722980323574255,30.901041119576913,9.84698790417747,963.561445015132,19.5191,24.24,99.7122,15.534856,23.131746,22.4847,0.2533,30534220918.96,24.3137,21.7445,24.92,63508663046.7,30454855385.44,1.0945,83.9342,53.1919,8.3616,13.278255,17.107817,16.119,10502781738.57,8.7527,2.57,8.71,22335981736.76,10503829776.22,52.2956,-0.29930574,0.23108177,0.22358869,-0.34066773,-0.02675809,-0.06722229,-0.36738262,0.22484686,0.0063201,-0.03209796,-0.00040112,0.15534856,0.23131746,0.0,0.22821969,0.04580004,0.20324642,0.2191032,-0.15672806,-0.12372451,0.20310673,0.19722876,-0.85900657,0.29228487,0.19493876,0.20324375,0.00546419,0.17107604,2.48187117,5.32040643,4.97199066,0.1611901,-0.04480918,-0.69212708,-0.03863135,0.13278255,0.17107817,0.02125283,2019-09-30,2019-11-14,1230.0683,3.5897,4.4177,1230.0683,0.2195,3.602,,91.4894,90.7946,-0.03781325,0.44454728,0.45009027,-0.03781325,0.03929924,0.44949698,,0.00401212,-0.00847109,-0.00712116
