code,statDate,pubDate,quality_score,predicted_future_quality_score,predicted_quality_trend,score,trend_score,rank,rating
sh600185,2024-12-31,2025-04-30,10.75709056765716,50.74491092931795,39.987820361660795,100.0,100.0,1,强
sh688559,2025-03-31,2025-05-15,11.696205253175565,41.56430731368319,29.86810206050762,99.93946731234867,99.93946731234867,2,强
sz000727,2025-03-31,2025-05-15,11.532387223249838,39.22129595731117,27.688908734061332,99.87893462469734,99.87893462469734,3,强
sh688172,2025-03-31,2025-05-15,14.752198726244403,42.141529580061864,27.389330853817462,99.818401937046,99.818401937046,4,强
sh688599,2025-03-31,2025-05-15,5.7552171279552535,33.079940524550956,27.3247233965957,99.75786924939467,99.75786924939467,5,强
sh688506,2025-03-31,2025-05-15,12.616267474183827,39.850546165636224,27.2342786914524,99.69733656174334,99.69733656174334,6,强
sz000002,2025-03-31,2025-05-15,4.277810646748869,31.2139729021104,26.93616225536153,99.63680387409201,99.63680387409201,7,强
sh688658,2025-03-31,2025-05-15,22.126453363206842,48.614409153486164,26.48795579027932,99.57627118644068,99.57627118644068,8,强
sh688295,2025-03-31,2025-05-15,13.876220542056956,40.026782603842264,26.150562061785305,99.51573849878935,99.51573849878935,9,强
sz002459,2025-03-31,2025-05-15,9.450577255534073,34.57056028921652,25.11998303368245,99.45520581113801,99.45520581113801,10,强
sh688165,2025-03-31,2025-05-15,8.992146285941365,34.02064518270094,25.028498896759576,99.39467312348668,99.39467312348668,11,强
sh688223,2025-03-31,2025-05-15,4.7777147311062365,29.65636898762345,24.878654256517212,99.33414043583535,99.33414043583535,12,强
sh600977,2025-03-31,2025-05-15,20.694685938907938,44.90293435558188,24.208248416673936,99.27360774818402,99.27360774818402,13,强
sh600438,2025-03-31,2025-05-15,6.10944450152858,30.2844641041899,24.175019602661322,99.21307506053269,99.21307506053269,14,强
sz002458,2025-03-31,2025-05-15,19.11590972261303,43.24040314976831,24.12449342715528,99.15254237288136,99.15254237288136,15,强
sz000762,2025-03-31,2025-05-15,16.083311414421605,40.07939369454977,23.996082280128167,99.09200968523002,99.09200968523002,16,强
sz002506,2025-03-31,2025-05-15,15.811839924446936,39.67970882383663,23.86786889938969,99.0314769975787,99.0314769975787,17,强
sz000519,2025-03-31,2025-05-15,14.180148983457173,38.01445199408134,23.83430301062417,98.97094430992736,98.97094430992736,18,强
sz300757,2025-03-31,2025-05-15,8.164105850392936,31.937086342734514,23.772980492341578,98.91041162227603,98.91041162227603,19,强
