code,statDate,pubDate,quality_score,predicted_future_quality_score,predicted_quality_trend,score,trend_score,rank,rating
sh688506,2025-03-31,2025-05-15,12.616267474183827,67.52777944654984,54.91151197236602,100.0,100.0,1,强
sh688062,2025-03-31,2025-05-15,16.58139567597376,52.38061862544963,35.79922294947587,99.93946731234867,99.93946731234867,2,强
sh600185,2024-12-31,2025-04-30,10.75709056765716,44.08016335826181,33.32307279060465,99.87893462469734,99.87893462469734,3,强
sh688276,2025-03-31,2025-05-15,24.51093965671055,55.3189673115225,30.808027654811944,99.818401937046,99.818401937046,4,强
sh688525,2025-03-31,2025-05-15,7.339770565614388,36.67799556216462,29.338224996550228,99.75786924939467,99.75786924939467,5,强
sh603392,2025-03-31,2025-05-15,23.451888114642642,51.20703867640252,27.75515056175988,99.69733656174334,99.69733656174334,6,强
sh688223,2025-03-31,2025-05-15,4.7777147311062365,32.50913393033023,27.731419199223993,99.63680387409201,99.63680387409201,7,强
sz301153,2025-03-31,2025-05-15,18.827701158142983,45.676691250846176,26.84899009270319,99.57627118644068,99.57627118644068,8,强
sz300459,2025-03-31,2025-05-15,25.375262649330754,52.10791783280231,26.732655183471554,99.51573849878935,99.51573849878935,9,强
sh688068,2025-03-31,2025-05-15,25.18314393105804,51.90073411501163,26.717590183953586,99.45520581113801,99.45520581113801,10,强
sh601949,2025-03-31,2025-05-15,20.122901735780736,46.75480083571684,26.631899099936106,99.39467312348668,99.39467312348668,11,强
sh688599,2025-03-31,2025-05-15,5.7552171279552535,32.29438411438206,26.53916698642681,99.33414043583535,99.33414043583535,12,强
sz300841,2025-03-31,2025-05-15,33.04273225240851,59.54502153451209,26.50228928210358,99.27360774818402,99.27360774818402,13,强
sz300229,2025-03-31,2025-05-15,25.866388534092472,52.29694500718338,26.43055647309091,99.21307506053269,99.21307506053269,14,强
sh600399,2025-03-31,2025-05-15,9.574626758127746,35.99659904676331,26.421972288635565,99.15254237288136,99.15254237288136,15,强
sz000762,2025-03-31,2025-05-15,16.083311414421605,42.44967174329818,26.366360328876578,99.09200968523002,99.09200968523002,16,强
sh688165,2025-03-31,2025-05-15,8.992146285941365,35.2422422227348,26.25009593679344,99.0314769975787,99.0314769975787,17,强
sz300757,2025-03-31,2025-05-15,8.164105850392936,34.317359924269866,26.153254073876933,98.97094430992736,98.97094430992736,18,强
sh603516,2025-03-31,2025-05-15,21.184732074975205,47.33374672579691,26.1490146508217,98.91041162227603,98.91041162227603,19,强
sh600438,2025-03-31,2025-05-15,6.10944450152858,32.21792027260137,26.108475771072786,98.8498789346247,98.8498789346247,20,强
sz300045,2025-03-31,2025-05-15,18.535615826072487,44.48773292236069,25.9521170962882,98.78934624697337,98.78934624697337,21,强
sh600158,2025-03-31,2025-05-15,12.710924339443208,38.638930652158706,25.9280063127155,98.72881355932203,98.72881355932203,22,强
sz000519,2025-03-31,2025-05-15,14.180148983457173,40.10062494343705,25.920475959979875,98.6682808716707,98.6682808716707,23,强
sz300782,2025-03-31,2025-05-15,22.368567107157833,48.167954577082455,25.799387469924625,98.60774818401937,98.60774818401937,24,强
sz300957,2025-03-31,2025-05-15,30.125476573116103,55.793934057548725,25.668457484432622,98.54721549636804,98.54721549636804,25,强
sz000002,2025-03-31,2025-05-15,4.277810646748869,29.9411071047463,25.663296457997433,98.48668280871671,98.48668280871671,26,强
sh600776,2025-03-31,2025-05-15,17.303437078304956,42.6451395794778,25.341702501172847,98.42615012106538,98.42615012106538,27,强
sh688172,2025-03-31,2025-05-15,14.752198726244403,39.86433506490566,25.11213633866126,98.36561743341404,98.36561743341404,28,强
sz300142,2025-03-31,2025-05-15,25.621514333815586,50.72381477271405,25.10230043889846,98.30508474576271,98.30508474576271,29,强
sz300036,2025-03-31,2025-05-15,18.448858273655173,43.54025169903095,25.09139342537577,98.24455205811138,98.24455205811138,30,强
sz002389,2025-03-31,2025-05-15,14.660664266073514,39.7430607046843,25.08239643861078,98.18401937046005,98.18401937046005,31,强
sz000629,2025-03-31,2025-05-15,15.627931393096842,40.68488187475546,25.05695048165862,98.12348668280872,98.12348668280872,32,强
sh603496,2025-03-31,2025-05-15,22.07762053722098,46.7531362133671,24.675515676146116,98.06295399515739,98.06295399515739,33,强
sh600588,2025-03-31,2025-05-15,15.449819883791003,40.074343058945864,24.62452317515486,98.00242130750605,98.00242130750605,34,强
sz000727,2025-03-31,2025-05-15,11.532387223249838,35.97019347100315,24.43780624775331,97.94188861985472,97.94188861985472,35,强
sz300676,2025-03-31,2025-05-15,19.217699593722223,43.65492513546825,24.43722554174602,97.88135593220339,97.88135593220339,36,强
