date,ticker,open,high,low,close,volume
2025-01-02,AAA,100.00,102.30,99.60,101.40,1820000
2025-01-03,AAA,101.40,103.10,100.80,102.20,1750000
2025-01-06,AAA,102.20,102.80,99.90,100.60,2200000
2025-01-07,AAA,100.60,104.20,100.20,103.70,2410000
2025-01-08,AAA,103.70,105.00,102.70,104.10,2010000
2025-01-09,AAA,104.10,104.80,101.60,102.40,2120000
2025-01-10,AAA,102.40,106.40,102.10,105.90,2630000
2025-01-13,AAA,105.90,107.10,104.90,106.30,1930000
2025-01-14,AAA,106.30,107.60,103.20,104.00,2860000
2025-01-15,AAA,104.00,106.80,103.70,106.20,2260000
2025-01-02,BBB,55.00,55.70,53.80,54.20,990000
2025-01-03,BBB,54.20,55.30,53.90,54.90,1120000
2025-01-06,BBB,54.90,56.60,54.60,56.10,1280000
2025-01-07,BBB,56.10,56.40,54.10,54.50,1460000
2025-01-08,BBB,54.50,55.00,52.40,53.10,1620000
2025-01-09,BBB,53.10,54.40,52.80,54.00,1250000
2025-01-10,BBB,54.00,55.20,53.70,54.80,1190000
2025-01-13,BBB,54.80,56.10,54.30,55.70,1330000
2025-01-14,BBB,55.70,55.90,53.20,53.80,1710000
2025-01-15,BBB,53.80,54.70,52.90,54.40,1380000
2025-01-02,CCC,28.00,28.80,27.70,28.50,3210000
2025-01-03,CCC,28.50,29.10,28.10,28.90,3370000
2025-01-06,CCC,28.90,29.70,28.70,29.50,3540000
2025-01-07,CCC,29.50,30.20,29.10,29.30,3680000
2025-01-08,CCC,29.30,30.60,29.00,30.40,3920000
2025-01-09,CCC,30.40,31.00,30.00,30.80,3810000
2025-01-10,CCC,30.80,31.90,30.60,31.60,4070000
2025-01-13,CCC,31.60,32.10,31.20,31.40,3990000
2025-01-14,CCC,31.40,33.00,31.10,32.70,4410000
2025-01-15,CCC,32.70,33.40,32.20,33.10,4280000
2025-01-02,DDD,210.00,214.50,206.20,208.30,740000
2025-01-03,DDD,208.30,211.40,202.80,204.60,890000
2025-01-06,DDD,204.60,209.10,201.20,207.80,810000
2025-01-07,DDD,207.80,216.90,206.50,215.40,1030000
2025-01-08,DDD,215.40,218.20,209.40,211.10,970000
2025-01-09,DDD,211.10,214.80,204.30,206.20,1120000
2025-01-10,DDD,206.20,213.70,205.50,212.90,1010000
2025-01-13,DDD,212.90,220.60,211.70,219.10,1190000
2025-01-14,DDD,219.10,221.30,212.60,214.00,1250000
2025-01-15,DDD,214.00,217.50,208.90,210.50,1160000
