code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz300308,2012-04-10,20.51,21.8,20.51,21.8,0.09,8219945.0,172807382.0,291902000.0,1453406000.0,0.613887,21.8,2012-04-25,2012-03-31,26.787711792003996,8.34552704027446,95.58472725726867,2.7961979732737814,3.30137041055178
sz300308,2012-04-11,21.3,21.68,20.68,21.03,-0.035321,6751220.0,142608100.28,281591700.0,1402070100.0,0.504199,21.030002200000002,2012-04-25,2012-03-31,25.84154032045156,8.050753837475774,92.20856945964955,2.697433182474662,3.1847627062806807
sz300308,2012-04-12,21.26,21.44,20.1,20.71,-0.015216,5419234.0,112258255.25,277306900.0,1380735700.0,0.4047219999999999,20.710009686524803,2012-04-25,2012-03-31,25.4483262024038,7.928250688260737,90.80549089440524,2.656388074610092,3.1363033569419136
sz300308,2012-04-13,20.62,21.49,20.5,21.04,0.015934,5126417.0,107666906.65,281725600.0,1402736800.0,0.3828539999999999,21.040002980869886,2012-04-25,2012-03-31,25.85382826164055,8.054582060888745,92.25241566481343,2.698715842095429,3.186277214631426
sz300308,2012-04-16,20.5,20.59,19.81,20.19,-0.040399,3778058.0,76049167.11,270344100.0,1346067300.0,0.282155,20.190007900445725,2012-04-25,2012-03-31,24.809353260576177,7.729183070786299,88.52548822588322,2.589689774330167,3.057554801437531
sz300308,2012-04-17,20.09,20.32,19.72,19.97,-0.010896,2306877.0,46252626.46,267398300.0,1331399900.0,0.172284,19.97001757436247,2012-04-25,2012-03-31,24.53901855441834,7.644962155700962,87.56087171227777,2.561471262673276,3.024239684321068
sz300308,2012-04-18,20.09,20.39,19.85,20.34,0.018528,3073377.0,61990422.11,272352600.0,1356067800.0,0.229528,20.340022059980257,2012-04-25,2012-03-31,24.993672378411066,7.786606421980849,89.1831813033415,2.608929668641684,3.080272797192169
sz300308,2012-04-19,20.21,20.95,20.2,20.37,0.001475,2400113.0,49244522.12,272754300.0,1358067900.0,0.179247,20.370023592518727,2012-04-25,2012-03-31,25.030536201978048,7.798091092219759,89.31471991883316,2.6127776475039877,3.0848161995680274
sz300308,2012-04-20,20.28,20.64,20.17,20.53,0.007855,2015319.0,41121623.93,274896700.0,1368735100.0,0.150509,20.53003012783796,2012-04-25,2012-03-31,25.22714326100193,7.859342666827278,90.01625920145531,2.6333002014362723,3.1090474308156337
sz300308,2012-04-23,20.3,20.33,18.95,18.98,-0.075499,3428539.0,66776067.85,254142200.0,1265396600.0,0.256052,18.980033383216323,2012-04-25,2012-03-31,23.322512376708065,7.265968037816938,83.22009740105318,2.4344879602172647,2.8743174588364844
sz300308,2012-04-24,18.96,19.19,18.28,18.68,-0.015806,1653373.0,30951206.14,250125200.0,1245395600.0,0.1234779999999999,18.680034975561206,2012-04-25,2012-03-31,22.953874141038284,7.151121335427839,81.90471124613663,2.396008171594231,2.8288859970821147
sz300308,2012-04-25,19.0,19.34,18.81,19.18,0.026767,1328679.0,25415187.72,256820200.0,1278730600.0,0.099229,19.180043471752054,2012-04-25,2012-03-31,23.568271200487917,7.342532506076337,84.09702150433087,2.4601411526326205,2.904606788566012
sz300308,2012-04-26,19.12,19.48,19.04,19.18,0.0,1134078.0,21828084.22,256820200.0,1278730600.0,0.084696,19.180043471752054,2012-10-26,2012-09-30,28.52991484619471,9.085202239782303,-187.9876645819853,2.457088628713259,2.904606788566012
sz300308,2012-04-27,19.13,19.61,19.13,19.35,0.008863,1163470.0,22587491.89,259096500.0,1290064500.0,0.086891,19.350036197042193,2012-10-26,2012-09-30,28.78278687559268,9.165728015630219,-189.65387433062645,2.478866786527714,2.9303503185330726
sz300308,2012-05-02,19.77,19.95,19.43,19.62,0.013953,1190712.0,23459988.04,262711800.0,1308065400.0,0.088925,19.620027252099526,2012-10-26,2012-09-30,29.1844071575777,9.293621894918083,-192.30020746082127,2.513455625409496,2.971237496527565
sz300308,2012-05-03,19.53,19.86,19.5,19.68,0.003058,849567.0,16731709.98,263515200.0,1312065600.0,0.063448,19.680025295436444,2012-10-26,2012-09-30,29.273656109129924,9.322042756982052,-192.88828148975344,2.5211420340498925,2.980323540791946
sz300308,2012-05-04,19.68,20.01,19.62,20.0,0.01626,1413433.0,28033009.81,267800000.0,1333400000.0,0.1055589999999999,20.00002250674024,2012-10-26,2012-09-30,29.74965051740846,9.47362068798989,-196.02467631072503,2.5621362134653376,3.028783601565223
sz300308,2012-05-07,20.13,20.13,19.76,20.0,0.0,1143324.0,22738685.16,267800000.0,1333400000.0,0.085386,20.00002250674024,2012-10-26,2012-09-30,29.74965051740846,9.47362068798989,-196.02467631072503,2.5621362134653376,3.028783601565223
