code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj830779,2025-09-17,-0.03589164785553012,0.0,0.02452095747360197,0.647555227050069,-0.0338600451467268,0.0,0.02906320580981686,0.6442296672887319,-0.0397775101234491,0.0,0.047458358712023016,0.7027180644644863,98.55555555555554,1,强
bj430478,2025-09-17,-0.00907965332232763,0.0,0.013596874942631515,0.6579454423134613,-0.04498555509698732,0.0,0.001546328182059052,0.594592774633416,-0.059430458109781426,0.0,0.03537948842315816,0.7045171900641329,97.66666666666666,2,强
bj831278,2025-09-16,-0.020092735703245768,0.0,0.0114597618962275,0.6370398351176737,-0.01081916537867067,0.0,0.008969411790194722,0.6360738273279332,-0.07573415765069547,0.0,0.03852736159735335,0.6840727124487789,96.33333333333334,3,强
bj831152,2025-09-17,-0.01417769376181477,0.0,-0.004048605847731925,0.5913473573568059,-0.004725897920605182,0.0,0.00718329652720281,0.6177646811530974,-0.024102079395085352,0.0,0.024522434502185473,0.6637442988539998,91.11111111111111,4,强
bj430139,2025-09-22,-0.03023255813953496,0.0,0.0170408907834888,0.6903184271640731,-0.024031007751937783,0.0,0.010273141269560656,0.6678846830472999,-0.04457364341085257,0.0,0.022883428676998847,0.6608408247444107,88.11111111111111,5,强
bj831167,2025-09-22,-0.0425900277008312,0.0,0.01772161040878258,0.6409536996887153,-0.04085872576177296,0.0,0.002813526274325636,0.6306275908037826,-0.057479224376731586,0.0,0.01057621033075527,0.6736282129434046,87.11111111111111,6,强
bj832471,2025-09-16,0.013639181649101495,1.0,0.005086709737711959,0.6354291713152898,0.009919404835710077,1.0,0.03235374257410058,0.6820624464135554,-0.07191568505889612,0.0,0.03789521136266415,0.6532628847570986,86.88888888888889,7,强
bj430198,2025-09-16,-0.009649122807017907,0.0,0.0038231399866578766,0.6169627334762082,-0.04035087719298269,0.0,0.007124904703248115,0.6203502311390968,-0.09210526315789491,0.0,0.021834285378736686,0.6591636637720681,85.88888888888889,8,强
bj831641,2025-09-17,0.04521404521404526,1.0,0.005003146671206029,0.5850691070326616,0.11880711880711936,1.0,0.006722347358682554,0.6086933601650956,0.06349206349206371,1.0,0.01085479670750232,0.6447535529055409,77.77777777777777,9,偏强
bj831370,2025-09-22,0.009469696969697017,1.0,0.007431360624167428,0.657503877427365,-0.0719696969696969,0.0,-0.017307859000595303,0.5750195683589293,-0.09090909090909094,0.0,0.003878670780003622,0.656059275728509,77.44444444444444,10,偏强
