code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj835185,2025-09-15,-0.041880084362759806,0.0,0.0002894979,0.47197515,-0.06266947875866236,0.0,0.008330788,0.6048659,-0.05332931605905378,0.0,0.03717113,0.667405,100.0,1,强
bj834014,2025-09-15,-0.00908455625436777,0.0,0.004089165,0.53168225,0.03284416491963671,1.0,0.007410016,0.62534267,-0.04542278127183774,0.0,0.035921466,0.658171,98.73417721518987,2,强
bj830809,2025-09-15,-0.017295597484276892,0.0,0.0052818027,0.5094371,-0.03459119496855356,0.0,0.017928433,0.59021,-0.0676100628930818,0.0,0.035386465,0.62038064,96.64556962025316,3,强
bj832175,2025-09-16,0.01178318931657496,1.0,0.0029407288,0.5224995,-0.003142183817753441,0.0,0.007391871,0.5966921,-0.05734485467399841,0.0,0.026171083,0.64939207,96.58227848101265,4,强
bj830896,2025-09-17,-0.027628865979381523,0.0,0.004857016,0.50813866,-0.0903092783505155,0.0,0.011626214,0.55890125,-0.10103092783505141,0.0,0.03235146,0.6121738,95.37974683544303,5,强
bj430718,2025-09-22,-0.054875061244488044,0.0,0.004864971,0.514481,-0.08231259186673179,0.0,-0.008936529,0.54526097,-0.07104360607545324,0.0,0.021043953,0.6016475,92.40506329113924,6,强
bj834033,2025-09-16,0.0004955401387514158,1.0,-0.0017904497,0.48245022,-0.05500495540138728,0.0,-0.0048169703,0.57776326,-0.09762140733399394,0.0,0.018916052,0.6039707,92.34177215189874,7,强
bj833171,2025-09-18,0.015340364333653156,1.0,0.0020915295,0.49236745,0.03163950143815941,1.0,-0.00262777,0.56305444,-0.006711409395973145,0.0,0.018691927,0.5903777,90.25316455696202,8,强
bj835237,2025-09-16,0.023704707077548015,1.0,0.009378527,0.51847523,-0.040636640704368676,0.0,0.012339901,0.54630935,0.015916017609210797,1.0,0.021709183,0.5853092,89.55696202531647,9,强
bj832491,2025-09-22,-0.03170874926600109,0.0,-0.0024091809,0.5061779,0.020258367586611703,1.0,-0.008097176,0.5557572,0.03493834409864949,1.0,0.02076137,0.5871409,89.49367088607595,10,强
