code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj832471,2025-09-16,0.013639181649101495,1.0,0.009763269,0.43928415,0.009919404835710077,1.0,0.0026302852,0.5028033,-0.07191568505889612,0.0,0.016104538,0.45984614,100.0,1,强
bj830779,2025-09-17,-0.03589164785553012,0.0,0.0116178095,0.44388312,-0.0338600451467268,0.0,0.008830567,0.5005834,-0.0397775101234491,0.0,0.014593002,0.44810796,96.33333333333334,2,强
bj430718,2025-09-23,0.006739243131156369,1.0,0.006006756,0.44443738,-0.02125453602903038,0.0,0.0028054162,0.508612,-0.04510108864696705,0.0,0.010955906,0.45301268,96.22222222222221,3,强
bj830896,2025-09-23,0.027817067421027852,1.0,0.007915126,0.44372383,0.015558698727015319,1.0,0.0071771992,0.4980896,-0.005657708628005853,0.0,0.010373995,0.44459888,92.55555555555556,4,强
bj831832,2025-09-17,-0.02320675105485237,0.0,0.0030693237,0.44172758,-0.04571026722925464,0.0,0.0019341238,0.48957792,-0.05168776371308026,0.0,0.0090968255,0.44179606,88.88888888888889,5,强
bj831627,2025-09-22,-0.029861616897305154,0.0,0.0036433532,0.43071303,-0.021849963583394083,0.0,0.00050768873,0.49030486,0.056081573197378054,1.0,0.0086690225,0.44171214,86.66666666666667,6,强
bj830974,2025-09-19,-0.030668127053669392,0.0,0.0063040815,0.44372374,-0.025191675794085433,0.0,0.004854347,0.48928708,-0.07228915662650603,0.0,0.01136818,0.43581077,85.44444444444444,7,强
bj831906,2025-09-18,-0.0725358291898216,0.0,0.0018722275,0.4373551,-0.1079262942380812,0.0,-0.003197318,0.4774331,-0.13688212927756638,0.0,0.0032073618,0.44197354,81.77777777777777,8,强
bj831278,2025-09-16,-0.020092735703245768,0.0,0.011196117,0.45234653,-0.01081916537867067,0.0,0.0030872114,0.49489695,-0.07573415765069547,0.0,0.0045148083,0.44026378,81.33333333333333,9,强
bj830879,2025-09-17,-0.019852082522382353,0.0,0.0020064623,0.4083976,-0.04515375632541829,0.0,-0.0071635013,0.45420378,-0.06344881276761394,0.0,0.005973898,0.43391445,80.11111111111111,10,强
bj831834,2025-09-23,-0.014985590778098246,0.0,-0.0022301688,0.43079376,-0.0541786743515853,0.0,-0.0052440087,0.49442825,-0.057636887608069176,0.0,0.0025833896,0.4401628,74.44444444444444,11,偏强
bj832522,2025-09-23,0.0406400453129423,1.0,0.0029570316,0.43748683,-0.06952704616256034,0.0,0.004509514,0.46980315,-0.09232512036250373,0.0,0.0045294287,0.43076226,73.44444444444444,12,偏强
bj832110,2025-09-23,0.025165226232841675,1.0,0.006087861,0.44786757,-0.007371631926792355,0.0,0.0038087734,0.48291466,-0.011184544992374423,0.0,0.004073187,0.43273643,73.22222222222221,13,偏强
bj831855,2025-09-22,-0.061419472247497664,0.0,0.0067849634,0.43982667,-0.07006369426751569,0.0,-0.00167787,0.49352974,-0.0723384895359418,0.0,0.0052382564,0.42744207,70.66666666666667,14,偏强
bj831370,2025-09-22,0.009469696969697017,1.0,0.0011588391,0.4576586,-0.0719696969696969,0.0,0.0011167538,0.4965112,-0.09090909090909094,0.0,0.0016075298,0.43256032,65.55555555555554,15,偏强
bj831304,2025-09-23,0.032592592592592506,1.0,0.0012788081,0.4315314,-0.008888888888888946,0.0,-0.0060332436,0.4853767,-0.0022222222222223476,0.0,0.002154284,0.42920616,64.22222222222223,16,偏强
bj832978,2025-09-17,0.019533111005240356,1.0,0.003633691,0.4486399,0.09933301572177222,1.0,-9.101592e-05,0.46540108,0.07551214864221056,1.0,0.0042708544,0.42421448,63.888888888888886,17,偏强
bj830809,2025-09-22,-0.01180438448566612,0.0,0.0022237552,0.43953145,-0.01517706576728517,0.0,-0.00063628424,0.4744368,0.010118043844856706,1.0,0.0020332304,0.4280428,62.0,18,偏强
bj831175,2025-09-23,0.02440512507626602,1.0,0.005415974,0.4452837,-0.013422818791946067,0.0,0.0023737215,0.49360654,-0.022574740695546103,0.0,0.004806922,0.4204425,61.22222222222222,19,偏强
bj832023,2025-09-23,0.016018306636155666,1.0,-0.0033710077,0.44259924,-0.016018306636155666,0.0,-0.0045659877,0.51009125,0.0022883295194509046,1.0,0.0036432296,0.4212156,58.0,20,中性
bj832651,2025-09-23,0.08877721943048567,1.0,0.0013893612,0.4478121,0.04690117252931292,1.0,-0.00061327295,0.47932136,0.04690117252931292,1.0,0.0010913871,0.42348084,53.888888888888886,21,中性
bj832278,2025-09-16,-0.0009066183136895445,0.0,0.0062081916,0.40994695,-0.019945602901178305,0.0,-0.0053250515,0.4342513,-0.07887579329102412,0.0,-0.003623788,0.4249692,48.22222222222222,22,中性
bj831195,2025-09-18,-0.023797960174842037,0.0,0.00090554357,0.4438708,-0.0733365711510443,0.0,-0.0022028175,0.4377464,-0.09567751335599806,0.0,0.0026201666,0.41089827,46.33333333333333,23,中性
bj831152,2025-09-17,-0.01417769376181477,0.0,0.0063247033,0.44904435,-0.004725897920605182,0.0,-0.0017282568,0.4552182,-0.024102079395085352,0.0,-0.001458314,0.4233473,46.22222222222223,24,中性
bj833075,2025-09-18,0.007716049382715973,1.0,0.0034925665,0.43309426,-0.08333333333333326,0.0,-0.008337883,0.44942364,-0.06944444444444464,0.0,0.0025171903,0.4148314,46.22222222222222,25,中性
bj832419,2025-09-23,0.013043478260869934,1.0,0.0046788068,0.4460737,-0.005434782608695565,0.0,-0.0014635124,0.45566025,-0.016847826086956452,0.0,0.0015774686,0.4164865,44.55555555555556,26,中性
bj831641,2025-09-17,0.04521404521404526,1.0,0.003402066,0.44555277,0.11880711880711936,1.0,-0.0019476336,0.45401695,0.06349206349206371,1.0,0.0006193239,0.41766226,44.33333333333333,27,中性
bj831087,2025-09-17,-0.015366430260047359,0.0,-0.00025031125,0.4385241,-0.0856973995271868,0.0,-0.0024108845,0.46461844,-0.10992907801418472,0.0,0.0007366549,0.41713747,43.666666666666664,28,中性
bj831039,2025-09-17,-0.02689655172413785,0.0,-0.0023959607,0.43196076,-0.06413793103448251,0.0,-0.011344309,0.47802585,-0.08413793103448275,0.0,0.0043380978,0.40915644,43.0,29,中性
