code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
sh600027,2026-05-06,0.007905138339920903,1.0,-0.011045265,0.44116417,0.03359683794466406,1.0,-0.008162985,0.5352463,0.06521739130434767,1.0,0.009792819,0.5415313,100.0,1,强
bj920106,2026-05-06,0.01300108342361872,1.0,0.0037095838,0.48499802,0.008306247742867479,1.0,0.001472995,0.5646432,0.008306247742867479,1.0,0.007302885,0.5332253,99.65635738831615,2,强
bj920089,2026-05-15,0.0005991611743560998,1.0,-0.0048957,0.46825987,-0.025164769322947977,0.0,-0.008933686,0.48637885,-0.019173157579388866,0.0,-0.005737026,0.41656837,98.6082474226804,3,强
bj920077,2026-05-15,0.002272727272726982,1.0,-0.004973444,0.43203592,-0.03125000000000022,0.0,-0.013634214,0.46358582,-0.04034090909090937,0.0,-0.0044576945,0.40103927,98.52233676975945,4,强
bj920239,2026-05-15,-0.011351909184726727,0.0,-0.0043108375,0.42114848,-0.002407980736154114,0.0,-0.013129721,0.44675353,-0.0485036119711042,0.0,-0.002540478,0.39380074,97.74914089347078,5,强
bj920252,2026-05-15,-0.02349129202106104,0.0,-0.0034303062,0.4153634,-0.04495747266099648,0.0,-0.012917613,0.4479844,-0.0911300121506683,0.0,-0.006802745,0.40047672,97.69759450171821,6,强
sh600019,2026-05-13,0.0,0.0,0.002497641,0.4192906,-0.04094488188976386,0.0,-0.0030974175,0.4492221,-0.05984251968503951,0.0,-0.006856917,0.39841595,97.35395189003435,7,强
sh600033,2026-05-15,0.0,0.0,-0.0040109316,0.39554203,0.0028248587570620654,1.0,-0.010816324,0.43182462,0.0,0.0,-0.005045326,0.3898764,97.16494845360825,8,强
bj920422,2026-05-15,-0.006375227686703289,0.0,-0.0034312133,0.4169512,-0.00819672131147553,0.0,-0.016265396,0.45152757,-0.029143897996357193,0.0,-0.009157385,0.40340266,97.06185567010309,10,强
bj920160,2026-05-15,-0.003786285233487785,0.0,-0.0026574205,0.40619582,-0.023138409760202094,0.0,-0.014621002,0.45116097,-0.05850551031431428,0.0,-0.0047672153,0.3879923,97.06185567010309,9,强
bj920974,2026-05-15,-0.03394255874673602,0.0,-0.0068338374,0.4241903,0.04438642297650164,1.0,-0.019592673,0.4388022,-0.006527415143602888,0.0,-0.008956239,0.3965623,96.52920962199312,11,强
bj920123,2026-05-15,-0.030182684670373217,0.0,-0.0016401071,0.45696375,-0.032565528196981886,0.0,-0.0138297845,0.4938461,-0.06830818109610792,0.0,-0.011474887,0.42910272,96.18556701030928,12,强
bj920185,2026-05-15,-0.016775077028415075,0.0,-0.0054767886,0.4144946,0.010270455323519556,1.0,-0.012840254,0.43308213,-0.031153714481342076,0.0,-0.0063866302,0.377138,96.03092783505154,13,强
bj920190,2026-05-15,-0.015138772077375795,0.0,-0.005227067,0.40281975,-0.03195962994112689,0.0,-0.019739185,0.42515105,-0.05334924249158379,0.0,-0.007436684,0.37131712,95.0,14,强
bj920080,2026-05-15,-0.0007987220447283061,0.0,-0.004456202,0.40541524,0.02955271565495199,1.0,-0.018325519,0.43511108,-0.0227635782747605,0.0,-0.010082101,0.37863132,94.79381443298969,15,强
bj920892,2026-05-15,-0.004310344827586188,0.0,-0.00411035,0.4292614,-0.007902298850574585,0.0,-0.012413944,0.44872904,-0.048850574712643646,0.0,-0.00906194,0.37583166,94.72508591065292,16,强
