code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
sz000670,2026-05-06,0.05263157894736836,1.0,0.002274415,0.58883315,0.051347881899871606,1.0,0.014397981,0.6510523,0.060333761232349126,1.0,0.029088408,0.7216819,100.0,1,强
sh600459,2026-05-11,-0.018156424581005637,0.0,0.0033828714,0.6065448,-0.05121042830540046,0.0,0.016626824,0.65212756,-0.029329608938547636,0.0,0.027480219,0.7076032,99.61428571428573,2,强
sh603070,2026-05-06,0.004366812227074357,1.0,-0.0037065074,0.57774085,0.022561863173216956,1.0,0.014744784,0.64054704,0.18,1.0,0.027596414,0.70645607,99.52857142857144,3,强
sh601016,2026-05-07,-0.018036072144288595,0.0,0.006999109,0.6109319,0.026052104208416527,1.0,0.024605805,0.6797149,0.022044088176352616,1.0,0.026086468,0.67765045,98.95714285714286,4,强
sz300787,2026-05-06,0.022977941176470562,1.0,-0.0013246101,0.6031743,0.026654411764705843,1.0,0.012509437,0.6424101,0.02113970588235259,1.0,0.021586802,0.66728574,98.47142857142856,5,强
sh600997,2026-05-07,0.0,0.0,0.006358498,0.62275755,-0.028021015761821477,0.0,0.019688653,0.63783944,-0.038528896672504365,0.0,0.020050777,0.7026569,98.34285714285716,6,强
sz300102,2026-05-06,-0.06989886972040438,0.0,-0.0022041746,0.56018925,-0.004356829790388095,0.0,0.008645529,0.59993815,-0.03802160484535111,0.0,0.02508757,0.6609402,98.3,7,强
sz301317,2026-05-06,0.08240459304289116,1.0,-0.0028454093,0.5410733,0.11060452549814248,1.0,0.008061222,0.58144945,0.18,1.0,0.02493983,0.65230954,97.82857142857142,8,强
sh601328,2026-05-08,-0.004477611940298498,0.0,0.005640707,0.54188484,-0.0029850746268657025,0.0,0.019295495,0.6002101,0.0029850746268658135,1.0,0.020304045,0.6589063,97.61428571428571,9,强
sz300032,2026-05-08,-0.005617977528089901,0.0,0.003259524,0.5969431,-0.014981273408239515,0.0,0.014686662,0.62108105,-0.06179775280898858,0.0,0.019360783,0.66114295,97.4857142857143,10,强
