code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj835185,2025-09-15,-0.041880084362759806,0.0,0.014302576,0.49726582,-0.06266947875866236,0.0,0.025990695,0.7295334,-0.05332931605905378,0.0,0.054364145,0.77058756,100.0,1,强
bj832175,2025-09-16,0.01178318931657496,1.0,0.017420942,0.5685448,-0.003142183817753441,0.0,0.022681724,0.725132,-0.05734485467399841,0.0,0.04441946,0.74014676,98.29113924050634,2,强
bj834033,2025-09-16,0.0004955401387514158,1.0,0.0056681074,0.48773688,-0.05500495540138728,0.0,0.025769558,0.69872093,-0.09762140733399394,0.0,0.049354352,0.7338919,97.9113924050633,3,强
bj830809,2025-09-15,-0.017295597484276892,0.0,0.01525501,0.46778414,-0.03459119496855356,0.0,0.022470448,0.74477434,-0.0676100628930818,0.0,0.043034643,0.7268022,96.20253164556962,4,强
bj831370,2025-09-22,0.009469696969697017,1.0,0.0012896794,0.52990705,-0.0719696969696969,0.0,0.016415615,0.6895005,-0.09090909090909094,0.0,0.03342302,0.66570526,94.9367088607595,5,强
bj830974,2025-09-18,-0.016163793103448176,0.0,0.015783926,0.6107149,-0.05603448275862066,0.0,0.004478313,0.6066572,-0.08405172413793094,0.0,0.02595174,0.64055026,93.67088607594937,6,强
bj833580,2025-09-19,-0.06301369863013706,0.0,0.014223844,0.52909756,-0.04712328767123286,0.0,-0.0026900806,0.5389036,-0.11726027397260275,0.0,0.01622044,0.5956342,91.13924050632912,7,强
bj430718,2025-09-22,-0.054875061244488044,0.0,0.008473733,0.48847133,-0.08231259186673179,0.0,0.0049352506,0.49916098,-0.07104360607545324,0.0,0.018070254,0.5447287,90.75949367088609,8,强
bj834950,2025-09-16,-0.00042105263157898865,0.0,-0.0004901158,0.5028747,0.02905263157894744,1.0,0.0019673123,0.6411774,-0.09052631578947368,0.0,0.009785883,0.61428076,90.63291139240508,9,强
bj831175,2025-09-19,-0.013356562137049943,0.0,0.014941946,0.5716378,-0.024970963995354034,0.0,0.00965515,0.53051984,-0.06097560975609695,0.0,0.013746822,0.52937716,87.78481012658227,10,强
bj832978,2025-09-22,-0.08667388949079091,0.0,-0.0019781385,0.49465927,-0.06543878656554702,0.0,-0.00877464,0.46788764,-0.11375947995666302,0.0,0.0032466087,0.5359705,85.50632911392405,11,强
bj830896,2025-09-17,-0.027628865979381523,0.0,0.014162737,0.3726837,-0.0903092783505155,0.0,0.00045668334,0.4787815,-0.10103092783505141,0.0,0.006232459,0.50829595,85.18987341772151,12,强
bj833075,2025-09-23,0.022222222222222143,1.0,0.009317503,0.40566716,-0.007744107744107942,0.0,0.0002257295,0.4217223,-0.008080808080808244,0.0,0.014374256,0.4739381,84.9367088607595,13,强
bj832802,2025-09-22,-0.04973821989528826,0.0,0.0057085045,0.5223249,-0.04764397905759166,0.0,0.0009997517,0.4613869,-0.062303664921465995,0.0,0.008871442,0.4411246,81.9620253164557,14,强
bj832278,2025-09-15,0.0018165304268846771,1.0,0.0036686957,0.5692537,-0.009082652134423164,0.0,-0.0026947125,0.51710695,-0.047229791099000606,0.0,0.0007625795,0.47673273,81.32911392405063,15,强
bj834639,2025-09-15,-0.010881392818280489,0.0,0.0078124404,0.4295778,-0.00652883569096796,0.0,-0.003035362,0.41921425,-0.04787812840043515,0.0,0.004163173,0.44407335,81.01265822784809,16,强
bj832110,2025-09-23,0.025165226232841675,1.0,0.0034539723,0.36989555,-0.007371631926792355,0.0,-0.00849775,0.4169822,-0.011184544992374423,0.0,0.006045227,0.42760596,78.98734177215191,17,偏强
bj834014,2025-09-15,-0.00908455625436777,0.0,-0.002450217,0.37910816,0.03284416491963671,1.0,-0.013316889,0.37800643,-0.04542278127183774,0.0,-0.0015661381,0.4336802,76.26582278481013,18,偏强
bj833030,2025-09-18,-0.011884550084889534,0.0,0.004075448,0.53367543,-0.07504244482173195,0.0,-0.0052232607,0.42379394,-0.038030560271646974,0.0,0.0003594434,0.41711408,75.50632911392405,19,偏强
bj832786,2025-09-22,-0.026315789473684292,0.0,0.016576326,0.46702152,-0.041910331384015564,0.0,-0.0011015885,0.37707654,-0.04873294346978563,0.0,0.000424958,0.41031983,74.30379746835443,20,偏强
bj830964,2025-09-22,-0.04118404118404084,0.0,-0.00019471794,0.3455773,-0.06048906048906033,0.0,-0.0035861195,0.38287985,-0.04761904761904745,0.0,0.0064356886,0.38877568,70.82278481012659,21,偏强
bj831305,2025-09-19,-0.022506619593998245,0.0,0.00026037358,0.42392555,-0.037952338923212814,0.0,-0.012763968,0.3754515,-0.07287846022362288,0.0,-0.0071776705,0.4126242,70.69620253164557,22,偏强
bj430510,2025-09-16,-0.021220159151193796,0.0,0.005254256,0.41477242,-0.05702917771883298,0.0,-0.0138913635,0.49226135,-0.0893015030946065,0.0,-0.012412387,0.48940676,70.18987341772151,23,偏强
bj833914,2025-09-17,0.00757773713091181,1.0,0.00823403,0.5065983,-0.0250849229161223,0.0,-0.007629597,0.42548168,0.009929448654298234,1.0,-0.0037589134,0.40450454,70.0,24,偏强
bj833230,2025-09-19,-0.023980815347721895,0.0,0.011428521,0.49919552,-0.03537170263788991,0.0,-0.007811551,0.39177403,-0.09172661870503618,0.0,-0.0009564135,0.3919581,69.30379746835443,25,偏强
bj834058,2025-09-23,0.003959873284054893,1.0,0.011233793,0.49016643,-0.017687434002112146,0.0,-0.010626239,0.38429382,-0.03616684266103509,0.0,-0.005857627,0.40198243,68.73417721518987,26,偏强
bj833575,2025-09-19,-0.06898734177215193,0.0,0.0025780904,0.42817223,-0.18,0.0,-0.010041769,0.35485125,-0.16835443037974684,0.0,-0.009557427,0.40162238,65.25316455696202,27,偏强
bj832522,2025-09-23,0.0406400453129423,1.0,0.004290308,0.438838,-0.06952704616256034,0.0,-0.021799529,0.37217405,-0.09232512036250373,0.0,-0.011984524,0.40634134,62.848101265822784,28,偏强
bj834021,2025-09-18,-0.021768707482993088,0.0,0.00069478934,0.4794655,-0.07891156462585047,0.0,-0.0104403375,0.38389844,-0.06666666666666665,0.0,-0.0101745855,0.38215894,59.43037974683545,29,中性
bj831832,2025-09-18,0.0014398848092151972,1.0,-0.0031730789,0.49006286,-0.05327573794096474,0.0,-0.012928965,0.36708027,-0.05291576673866116,0.0,-0.011228847,0.38387123,58.48101265822785,30,中性
bj831087,2025-09-19,-0.03733665214685722,0.0,0.0015203379,0.4045636,-0.06285003111387688,0.0,-0.011715812,0.373409,-0.01866832607342861,0.0,-0.0065833516,0.36153635,57.59493670886076,31,中性
bj833523,2025-09-23,0.01532175689479054,1.0,0.008376055,0.50203085,-0.01634320735444328,0.0,-0.0087975245,0.37433428,0.02621722846441954,1.0,-0.010638121,0.37640768,57.34177215189873,32,中性
bj834062,2025-09-23,0.01152482269503552,1.0,0.012396114,0.3818546,-0.02127659574468077,0.0,-0.002009195,0.30161622,-0.008865248226950118,0.0,-0.0024508387,0.3477484,55.63291139240506,33,中性
bj831834,2025-09-22,-0.022535211267605382,0.0,0.0021608155,0.36494988,-0.0642253521126761,0.0,-0.020485273,0.34944427,-0.0676056338028167,0.0,0.0022128562,0.33508614,55.44303797468354,34,中性
bj832566,2025-09-23,0.013201320132013139,1.0,0.0036796234,0.3375535,-0.0008250825082508628,0.0,-0.01088874,0.333623,0.0033003300330034513,1.0,-0.002331625,0.34635285,55.25316455696203,35,中性
bj834765,2025-09-19,-0.057322175732217207,0.0,-0.01636118,0.45353496,2.220446049250313e-16,1.0,-0.026500946,0.30513197,0.01924686192468661,1.0,-0.01627042,0.39028332,54.303797468354425,36,中性
bj430564,2025-09-18,-0.026305300916700025,0.0,0.0018528517,0.49938825,-0.09286568353925873,0.0,-0.011099932,0.40035853,-0.06935033878039065,0.0,-0.009670068,0.34976014,53.29113924050633,37,中性
bj430478,2025-09-16,-0.004519309778142966,0.0,0.0056866715,0.38286215,-0.03286770747740353,0.0,-0.013790314,0.34102693,-0.06820049301561226,0.0,-0.012666647,0.36662298,51.20253164556962,38,中性
bj834407,2025-09-18,-0.038350515463917545,0.0,-0.00045920015,0.38618618,-0.08371134020618565,0.0,-0.008787304,0.35778454,-0.11134020618556684,0.0,-0.011532891,0.35101163,51.01265822784811,39,中性
bj831768,2025-09-23,0.008283132530120474,1.0,0.0099368505,0.437369,-0.020331325301205072,0.0,-0.0064175664,0.33603084,-0.025602409638554646,0.0,-0.008114485,0.34238723,50.063291139240505,40,中性
bj835237,2025-09-16,0.023704707077548015,1.0,0.005239575,0.3328407,-0.040636640704368676,0.0,-0.011845009,0.34651753,0.015916017609210797,1.0,-0.012596344,0.36173877,50.0,41,中性
bj831396,2025-09-19,-0.018150388936906126,0.0,0.002151186,0.44885606,-0.029386343993085706,0.0,-0.015739415,0.30169448,-0.0700086430423511,0.0,-0.011749278,0.34946358,48.924050632911396,42,中性
bj833943,2025-09-18,-0.013873265841769955,0.0,-0.0031892308,0.42501864,-0.07386576677915269,0.0,-0.015352257,0.3470747,-0.09148856392950888,0.0,-0.01646342,0.36287642,47.27848101265823,43,中性
bj430300,2025-09-23,0.0018259281801582539,1.0,0.005955708,0.3335966,-0.036518563603164966,0.0,-0.01398209,0.31031412,-0.03773584905660399,0.0,-0.0069298446,0.3273858,45.63291139240506,44,中性
bj833873,2025-09-17,-0.007566204287515754,0.0,0.0020635885,0.4528868,-0.05044136191677162,0.0,-0.014633697,0.3378705,-0.05044136191677162,0.0,-0.010916254,0.3305139,45.379746835443036,45,中性
bj830839,2025-09-17,-0.05423654977129155,0.0,-0.0062383558,0.34201005,-0.03528642997168385,0.0,-0.022018472,0.38590652,-0.039642779350903656,0.0,-0.027938873,0.38900024,43.734177215189874,46,中性
