code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj920475,2026-05-15,-0.047106325706594676,0.0,0.004873486,0.59171706,0.04845222072678346,1.0,0.0027120174,0.64756626,-0.0026917900403766737,0.0,0.029213542,0.6596451,100.0,1,强
sh600019,2026-05-13,0.0,0.0,-0.0012911458,0.52707773,-0.04094488188976386,0.0,0.00856915,0.5467013,-0.05984251968503951,0.0,0.021809949,0.640071,99.65635738831615,2,强
bj920106,2026-05-06,0.01300108342361872,1.0,0.003406691,0.5150161,0.008306247742867479,1.0,0.014403296,0.5891448,0.008306247742867479,1.0,0.019578908,0.6298345,99.19243986254297,3,强
bj920047,2026-05-15,-0.03656597774244841,0.0,0.0060826973,0.6265094,-0.03974562798092207,0.0,-0.0032108068,0.5719424,-0.035930047694753386,0.0,0.013219798,0.6287583,98.6082474226804,4,强
bj920160,2026-05-15,-0.003786285233487785,0.0,0.0022284505,0.59001225,-0.023138409760202094,0.0,-0.0020480282,0.59362274,-0.05850551031431428,0.0,0.012750233,0.6024679,98.26460481099656,5,强
bj920971,2026-05-15,0.013297872340425565,1.0,0.004107763,0.56436837,0.06582446808510656,1.0,0.009891598,0.5409132,0.14494680851063824,1.0,0.02095503,0.56151646,97.5257731958763,6,强
bj920422,2026-05-15,-0.006375227686703289,0.0,-0.0010587777,0.5312426,-0.00819672131147553,0.0,-0.0039502545,0.58193684,-0.029143897996357193,0.0,0.010700434,0.59673905,97.43986254295532,7,强
bj920403,2026-05-15,0.0,0.0,0.0014311189,0.59042686,-0.03257918552036221,0.0,-0.0013401828,0.5753133,-0.02805429864253417,0.0,0.011870938,0.59296906,97.233676975945,8,强
bj920230,2026-05-15,-0.04260651629072665,0.0,0.0012892609,0.5586891,-0.030075187969925032,0.0,-0.0028392174,0.547714,-0.07101086048454497,0.0,0.009314606,0.5956509,96.37457044673539,9,强
bj920832,2026-05-15,-0.023183925811437467,0.0,0.0067501524,0.602042,-0.007727975270479415,0.0,0.0050398437,0.56317145,-0.03091190108191688,0.0,0.012312646,0.552697,96.3573883161512,10,强
bj920892,2026-05-15,-0.004310344827586188,0.0,-0.0013898641,0.5312896,-0.007902298850574585,0.0,0.0009250358,0.5650159,-0.048850574712643646,0.0,0.010109251,0.5557385,95.85910652920961,11,强
bj920873,2026-05-15,-0.028761061946902422,0.0,0.003818112,0.5611413,-0.051991150442477596,0.0,0.0051342268,0.5717742,-0.05862831858407069,0.0,0.01654279,0.54450387,95.37800687285224,12,强
bj920263,2026-05-15,-0.0357142857142857,0.0,0.0009592051,0.39214334,-0.031746031746031966,0.0,0.009681234,0.5374654,-0.02976190476190499,0.0,0.018249474,0.54337734,95.27491408934708,13,强
sh600026,2026-05-13,0.016035634743875038,1.0,-0.0006546419,0.4712071,-0.043207126948775154,0.0,-0.0007508181,0.514638,0.008463251670378646,1.0,0.0077456953,0.56155264,94.38144329896907,14,强
bj920950,2026-05-15,-0.024405506883604544,0.0,-0.00024326965,0.54640037,-0.020650813516896127,0.0,-0.004674454,0.57182956,-0.037546933667083726,0.0,0.008638561,0.54799443,94.34707903780068,15,强
bj920790,2026-05-15,-0.016771488469601636,0.0,0.0038824745,0.5965168,-0.09769392033542956,0.0,-0.0027947524,0.5539562,-0.12410901467505209,0.0,0.008192234,0.5484386,94.0893470790378,16,强
bj920974,2026-05-15,-0.03394255874673602,0.0,0.0047812657,0.5595614,0.04438642297650164,1.0,0.0019174821,0.5645043,-0.006527415143602888,0.0,0.009855814,0.5390581,93.50515463917526,17,强
bj920931,2026-05-15,-0.005947323704333041,0.0,0.0004953036,0.5662401,0.022939677145284554,1.0,-0.010711782,0.517189,-0.021240441801189447,0.0,0.0062035257,0.5667002,93.4020618556701,18,强
bj920077,2026-05-15,0.002272727272726982,1.0,0.0036048107,0.57827204,-0.03125000000000022,0.0,-0.0004338339,0.5430541,-0.04034090909090937,0.0,0.007940253,0.5469434,93.28178694158075,19,强
bj920857,2026-05-15,-0.03433476394849788,0.0,0.008362546,0.5923229,-0.09066523605150223,0.0,0.0022262223,0.53251565,-0.10139484978540791,0.0,0.00975022,0.5349008,93.16151202749141,20,强
bj920519,2026-05-15,-0.029826014913007404,0.0,0.0062143495,0.6369694,-0.01988400994200501,0.0,0.0002105236,0.5726107,-0.05053852526926261,0.0,0.0103562875,0.53334737,93.07560137457045,21,强
bj920717,2026-05-15,-0.01769911504424737,0.0,0.0034651675,0.55916417,-0.011061946902654607,0.0,-0.00081261917,0.54290867,-0.06969026548672519,0.0,0.0119294375,0.5301719,92.88659793814432,22,强
bj920110,2026-05-15,-0.015491621877963935,0.0,0.004555296,0.5749279,-0.016440088523553498,0.0,0.0015250787,0.56403404,-0.05279797660448926,0.0,0.008788226,0.53460854,92.45704467353951,23,强
bj920023,2026-05-15,0.049180327868852514,1.0,0.005748307,0.57193303,0.004098360655737876,1.0,-0.0025678717,0.5248995,-0.016393442622950616,0.0,0.011595381,0.52714866,92.19931271477662,24,强
bj920642,2026-05-15,-0.019872813990461036,0.0,0.0047188727,0.62636334,0.019077901430842648,1.0,-0.0004433006,0.56175554,-0.02384737678855331,0.0,0.007847496,0.54193044,92.0446735395189,25,强
bj920553,2026-05-15,-0.020665901262916342,0.0,0.00051096326,0.580287,-0.01722158438576349,0.0,-0.0035968213,0.54357064,-0.06199770378874869,0.0,0.008627588,0.5332068,91.76975945017182,26,强
bj920260,2026-05-15,-0.023280423280423013,0.0,0.0055156676,0.54723734,-0.014814814814814503,0.0,-0.0010380283,0.48676848,-0.053968253968253777,0.0,0.009465678,0.5193345,90.46391752577318,27,强
bj920006,2026-05-15,-0.009528585757271668,0.0,0.008050246,0.609237,-0.040120361083249456,0.0,0.0047027776,0.5590381,-0.0907723169508522,0.0,0.0051523363,0.5447972,90.06872852233676,28,强
bj920169,2026-05-15,0.006538321830729998,1.0,0.002471215,0.57766867,-0.03741373047584473,0.0,-0.0025395423,0.5265554,-0.07918634217217602,0.0,0.0068120286,0.5329113,89.74226804123711,29,强
bj920663,2026-05-15,-0.034337349397590367,0.0,-0.0005465027,0.50077254,-0.03975903614457821,0.0,-0.0060213255,0.5192464,-0.05301204819277083,0.0,0.007334818,0.51811814,88.33333333333333,30,强
bj920735,2026-05-15,-0.011689291101055876,0.0,-0.0014021331,0.5278528,-0.00716440422322806,0.0,-0.006149617,0.5051929,-0.017345399698341146,0.0,0.0036721718,0.544817,87.2852233676976,31,强
bj920508,2026-05-15,-0.0021119324181627652,0.0,0.0038980246,0.57537496,-0.007391763463569179,0.0,-0.0012093388,0.5048466,-0.0580781414994721,0.0,0.0084761055,0.50540537,87.18213058419244,32,强
bj920087,2026-05-15,-0.01846153846153853,0.0,-0.0028160238,0.5002149,-0.05769230769230771,0.0,-0.005104129,0.5049934,-0.07923076923076922,0.0,0.0051441155,0.52594495,86.8213058419244,33,强
bj920856,2026-05-15,-0.018410041841004143,0.0,0.0031378032,0.5708368,-0.01757322175732212,0.0,-0.0012201719,0.5473144,-0.05523012552301254,0.0,0.007006038,0.51257604,86.75257731958763,34,强
bj920184,2026-05-15,0.0033112582781460453,1.0,0.00034813434,0.53460854,-0.0331125827814569,0.0,-0.004789011,0.51796764,-0.0768211920529801,0.0,0.004773074,0.5283744,86.64948453608247,35,强
bj920914,2026-05-15,-0.019834710743801942,0.0,-0.002823526,0.49739107,-0.03429752066115721,0.0,-0.004838413,0.526238,-0.05082644628099209,0.0,0.007262179,0.5097485,86.64948453608247,36,强
bj920204,2026-05-15,-0.010000000000000009,0.0,0.0059330044,0.57948023,-0.016874999999999973,0.0,-0.0012614809,0.5267736,-0.06374999999999997,0.0,0.008469956,0.502184,86.61512027491409,37,强
bj920227,2026-05-15,-0.022377622377622197,0.0,-0.0013840859,0.46348235,-0.04584304584304566,0.0,-0.0036716505,0.5137936,-0.0741258741258739,0.0,0.005325871,0.5174024,86.18556701030928,38,强
bj920522,2026-05-15,-0.012592444533280234,0.0,0.004734633,0.5786741,-0.02858285028982621,0.0,0.003431911,0.55700314,-0.010393763741755158,0.0,0.006974178,0.5090978,86.18556701030927,39,强
bj920895,2026-05-15,-0.01383647798742127,0.0,0.00077062007,0.5806206,-0.03270440251572315,0.0,-0.0053316727,0.5189404,-0.07987421383647786,0.0,0.006846274,0.5062704,85.84192439862542,40,强
bj920033,2026-05-15,-0.009232544720138347,0.0,0.0050005913,0.5816271,-0.04731679169070957,0.0,-0.0041843713,0.51274854,-0.06693594922100388,0.0,0.008043885,0.50021243,85.58419243986255,41,强
bj920407,2026-05-15,-0.006197183098591519,0.0,-0.0005360268,0.56200665,0.0011267605633802358,1.0,-0.010125615,0.48820263,-0.0670422535211268,0.0,0.004745758,0.5233243,85.51546391752576,42,强
bj920438,2026-05-15,0.0007750736319949159,1.0,0.0023646415,0.5595373,0.02526740040303843,1.0,-0.0022793873,0.52658045,0.06836149434196237,1.0,0.005154509,0.51313955,85.49828178694159,43,强
bj920149,2026-05-15,-0.01306532663316573,0.0,-1.8503331e-05,0.5436914,-0.012060301507537785,0.0,-0.0067271725,0.5263618,-0.0512562814070352,0.0,0.0050421534,0.51400924,85.12027491408935,44,强
bj920957,2026-05-15,-0.024137931034482696,0.0,0.005013149,0.53823787,-0.006896551724137945,0.0,0.0016646616,0.54271233,-0.06465517241379315,0.0,0.009639454,0.4872881,84.77663230240549,45,强
bj920116,2026-05-15,0.013169709667764318,1.0,0.0031334148,0.56125027,0.01765938341813844,1.0,-0.00050913467,0.5310099,-0.04754236386198596,0.0,0.005641492,0.4983918,83.19587628865979,46,强
bj920415,2026-05-15,-0.012234910277324706,0.0,-0.0025298025,0.5059264,-0.02446982055464919,0.0,-0.0059516043,0.512597,-0.05954323001631323,0.0,0.0041848505,0.51289916,82.74914089347078,47,强
bj920212,2026-05-15,-0.010806317539484578,0.0,0.00039127487,0.526995,0.004156275976724855,1.0,-0.005674422,0.5184514,-0.03075644222776386,0.0,0.0052639134,0.48947233,81.37457044673539,48,强
bj920262,2026-05-15,-0.023809523809523836,0.0,-0.00015556198,0.50385666,-0.031135531135531358,0.0,-0.0021613978,0.505392,-0.06898656898656919,0.0,0.0048971944,0.49721926,81.30584192439862,49,强
bj920806,2026-05-15,0.011314186248911895,1.0,0.0025968517,0.5541115,0.006962576153176636,1.0,-0.002591122,0.52610594,-0.015665796344647598,0.0,0.005075581,0.49091372,80.99656357388317,50,强
bj920010,2026-05-15,0.015957446808510634,1.0,0.00600414,0.54608446,-0.019756838905774954,0.0,-0.0066544237,0.47220826,-0.09346504559270519,0.0,0.0055823596,0.48683622,80.84192439862542,51,强
bj920576,2026-05-15,0.003260099220411039,1.0,-0.0038077447,0.48173833,-0.05046066619418854,0.0,-0.0066483156,0.47187325,-0.06746987951807215,0.0,0.00439302,0.4977727,80.32646048109966,52,强
bj920351,2026-05-15,-0.018371096142069887,0.0,-0.00048148894,0.52798355,-0.018371096142069887,0.0,-0.0065826178,0.48214093,-0.08328230251071633,0.0,0.0049677114,0.4890614,80.30927835051547,53,强
bj920799,2026-05-14,-0.006863025450386084,0.0,0.004306273,0.58619696,-0.0002859593937660776,0.0,0.0031756447,0.5047855,-0.037460680583357275,0.0,0.0056775087,0.48444405,80.18900343642612,54,强
bj920703,2026-05-15,-0.027850304612706767,0.0,0.0010126432,0.5403637,-0.03394255874673624,0.0,-0.0029879734,0.5069157,-0.05221932114882488,0.0,0.006017336,0.48165646,79.87972508591065,55,偏强
bj920527,2026-05-15,-0.02346041055718484,0.0,-0.005653289,0.48136202,-0.02404692082111415,0.0,-0.002924893,0.51556265,-0.06158357771261003,0.0,0.00075777015,0.5264275,79.82817869415808,56,偏强
bj920566,2026-05-15,-0.016822429906542036,0.0,0.0024324043,0.5156586,-0.014018691588784882,0.0,-0.004058306,0.5170618,-0.043925233644859674,0.0,0.0020041969,0.5127058,79.27835051546393,57,偏强
