code,date,actual_return_1d,actual_up_1d,pred_return_1d,prob_up_1d,actual_return_3d,actual_up_3d,pred_return_3d,prob_up_3d,actual_return_5d,actual_up_5d,pred_return_5d,prob_up_5d,sequence_score,rank,rating
bj920394,2026-05-15,-0.0266260162601627,0.0,0.0054527866,0.59789664,-0.033333333333333326,0.0,0.0188239,0.6531256,0.0008130081300812275,1.0,0.027787644,0.681053,99.9,1,强
bj920139,2026-05-15,-0.021681649920677115,0.0,0.011022728,0.6297407,0.050237969328397636,1.0,0.023438502,0.6851757,0.005288207297726055,1.0,0.028199038,0.67691123,99.81428571428572,2,强
bj920578,2026-05-15,-0.05118110236220452,0.0,0.00817511,0.55577564,-0.07332677165354329,0.0,0.020167854,0.65378714,-0.10334645669291331,0.0,0.025402874,0.65070546,99.42857142857144,3,强
bj920725,2026-05-15,0.014628073451602885,1.0,0.007321191,0.61725545,0.0034235916588858384,1.0,0.01354388,0.59475327,0.07998755057578588,1.0,0.02084516,0.6454578,98.74285714285715,4,强
bj920575,2026-05-15,-0.0389016018306636,0.0,0.007840985,0.591587,-0.07322654462242595,0.0,0.017181616,0.6578307,-0.13958810068649896,0.0,0.020266246,0.6429882,98.35714285714286,5,强
sh688322,2026-05-15,0.07191011235955069,1.0,0.009048799,0.58280927,0.15370786516853974,1.0,0.018457154,0.6561515,0.18,1.0,0.023619965,0.6361728,98.3,6,强
bj920007,2026-05-14,-0.029057017543859587,0.0,0.011941286,0.6332731,-0.03618421052631582,0.0,0.019500492,0.64176583,-0.09904970760233933,0.0,0.024338057,0.6325272,98.21428571428572,7,强
bj920077,2026-05-14,-0.012345679012345623,0.0,0.0063494146,0.59990877,-0.02974186307519666,0.0,0.015298193,0.61722654,-0.07070707070707094,0.0,0.020410875,0.63750255,98.08571428571429,8,强
bj920971,2026-05-15,0.013297872340425565,1.0,0.00428922,0.5395967,0.06582446808510656,1.0,0.013966247,0.60538244,0.14494680851063824,1.0,0.022100095,0.6227907,97.35714285714286,9,强
bj920799,2026-05-15,-0.0071983875611865145,0.0,0.009632022,0.63253343,-0.016700259141952167,0.0,0.014450747,0.65150076,-0.08062194068528628,0.0,0.01497249,0.6376996,96.97142857142856,10,强
sh600640,2026-05-15,0.10031847133757954,1.0,0.008397714,0.607499,0.06687898089171984,1.0,0.013792728,0.6160767,-0.017515923566879033,0.0,0.01923469,0.61468107,96.3,11,强
bj920405,2026-05-14,0.0060606060606061,1.0,0.004731104,0.60745883,0.0181818181818183,1.0,0.014206802,0.63645387,-0.044242424242424305,0.0,0.017129317,0.6211042,96.27142857142857,12,强
bj920510,2026-05-14,0.08836075563680645,1.0,0.009670177,0.59215635,0.051188299817184646,1.0,0.01810751,0.6026167,0.007921998781230677,1.0,0.023578921,0.6070503,96.15714285714286,13,强
bj920080,2026-05-15,-0.0007987220447283061,0.0,0.0112633845,0.6021859,0.02955271565495199,1.0,0.0140325455,0.6144942,-0.0227635782747605,0.0,0.014467368,0.6253734,96.12857142857143,14,强
bj920367,2026-05-15,-0.016949152542372836,0.0,0.0072699278,0.6148258,-0.021323127392017693,0.0,0.011235456,0.6178404,-0.059595407326408,0.0,0.012525847,0.62321484,95.54285714285714,15,强
bj920124,2026-05-15,0.01128266033254155,1.0,0.009350257,0.55180013,-0.0225653206650831,0.0,0.016687449,0.6399289,-0.03622327790973845,0.0,0.018149909,0.6082208,95.44285714285715,16,强
bj920694,2026-05-15,-0.03879064460924131,0.0,0.0061593214,0.5851446,-0.027952082144894752,0.0,0.010478361,0.6229613,-0.06274957216200827,0.0,0.0126646785,0.6176806,95.08571428571429,17,强
sh688653,2026-05-15,-0.003138731952290974,0.0,0.007494226,0.58533454,0.02699309478970524,1.0,0.011910044,0.59848845,0.0012554927809165228,1.0,0.017031169,0.6065264,94.87142857142857,18,强
bj920953,2026-05-15,0.0,0.0,0.0075330185,0.5952201,-0.02088948787062006,0.0,0.011782533,0.6207634,-0.048180592991913906,0.0,0.012458432,0.6103368,94.31428571428572,19,强
bj920427,2026-05-15,-0.010441767068273156,0.0,0.009545463,0.619925,0.0433734939759034,1.0,0.012752613,0.6167938,-0.044176706827309564,0.0,0.014984923,0.6060162,94.28571428571428,20,强
bj920106,2026-05-15,-0.057855722292532885,0.0,0.0057476377,0.55929273,-0.13144096908334835,0.0,0.013208875,0.60956466,-0.13379135780148266,0.0,0.016376298,0.5998768,93.74285714285713,21,强
bj920195,2026-05-15,-0.011479591836734637,0.0,0.005019645,0.5595731,-0.020408163265306256,0.0,0.0104943365,0.6210688,-0.03316326530612257,0.0,0.0124861505,0.6044717,93.3,22,强
sh688783,2026-05-15,-0.01324698263173374,0.0,0.00497948,0.5450491,0.027377097438916698,1.0,0.011066348,0.59608454,-0.017368266117162134,0.0,0.019565199,0.5917704,93.24285714285715,23,强
bj920092,2026-05-15,0.18,1.0,0.0077911555,0.61178404,0.14044750430292585,1.0,0.011522362,0.6073507,0.16351118760757277,1.0,0.012502181,0.6006332,93.02857142857142,24,强
sh688188,2026-05-08,0.03310696095076415,1.0,0.0022541475,0.49046606,0.08756693221888456,1.0,0.013088604,0.5827885,0.07627007966566501,1.0,0.015155384,0.5955298,92.9,25,强
bj920003,2026-05-15,-0.010512902198152596,0.0,0.007310877,0.5485194,-0.03090156100669006,0.0,0.011423989,0.5958416,-0.04428161834979316,0.0,0.014194265,0.5973689,92.77142857142857,26,强
bj920396,2026-05-15,-0.017025712300208662,0.0,0.0057397364,0.6113762,-0.054899235580264105,0.0,0.0098766,0.62814456,-0.08512856150104253,0.0,0.010783983,0.6101073,92.72857142857143,27,强
bj920806,2026-05-15,0.011314186248911895,1.0,0.0065039126,0.6186094,0.006962576153176636,1.0,0.011225584,0.6158554,-0.015665796344647598,0.0,0.011231817,0.6044554,92.31428571428572,28,强
sh603040,2026-05-07,0.013703703703703773,1.0,0.0049789036,0.5114523,-0.017901234567901048,0.0,0.017193813,0.61000633,-0.06962962962962949,0.0,0.018345233,0.5860329,92.01428571428572,29,强
bj920533,2026-05-15,-0.03419767004885366,0.0,0.00790459,0.55580485,-0.08004509582863584,0.0,0.012456851,0.6056031,-0.08380308154828997,0.0,0.016536584,0.5869369,91.98571428571428,30,强
bj920640,2026-05-15,0.002282453637660664,1.0,0.006636759,0.6010765,-0.006847360912981326,0.0,0.011110214,0.60658723,0.023965763195435086,1.0,0.0115242265,0.59949625,91.85714285714286,31,强
sh603103,2026-05-15,-0.0069375619425173785,0.0,0.0059533403,0.5823121,-0.005450941526263575,0.0,0.010851126,0.6235104,-0.021308225966303218,0.0,0.011029974,0.596367,91.18571428571428,32,强
sz300194,2026-05-14,-0.005012531328320802,0.0,0.004978329,0.590961,0.005012531328320691,1.0,0.008569713,0.5815128,-0.02506265664160412,0.0,0.010921878,0.58984524,90.05714285714285,33,强
bj920016,2026-05-14,-0.005467800729039851,0.0,0.0056778206,0.5685247,0.012758201701093874,1.0,0.0098718945,0.5635335,-0.050575555989119114,0.0,0.012136884,0.5860107,90.02857142857142,34,强
sz300619,2026-05-12,-0.032198899531281855,0.0,0.005167856,0.50849855,-0.07723660077440386,0.0,0.012891379,0.5914385,-0.01793356429590376,0.0,0.012167409,0.5850894,89.94285714285715,35,强
bj920299,2026-05-15,-0.011794439764111209,0.0,0.0070675462,0.59604096,-0.03833192923336137,0.0,0.009594552,0.591813,-0.04591406908171858,0.0,0.010912509,0.5895294,89.77142857142857,36,强
bj920748,2026-05-15,-0.012227855651655295,0.0,0.0051820064,0.6082258,-0.04533253802564874,0.0,0.0072440975,0.60031193,-0.08201610498061429,0.0,0.009202591,0.5952756,89.31428571428572,37,强
bj920163,2026-05-15,-0.025203252032520496,0.0,0.0077073835,0.5954794,-0.017886178861788782,0.0,0.008029002,0.60332906,-0.07317073170731714,0.0,0.008446859,0.5940337,88.52857142857142,38,强
bj920130,2026-05-14,-0.007329842931937058,0.0,0.0059236004,0.56999016,0.014659685863874339,1.0,0.007147926,0.5688979,-0.06125654450261786,0.0,0.009545834,0.58640105,88.5,39,强
sz301291,2026-05-14,0.0027173913043476716,1.0,0.003379751,0.56187713,0.11121894409937871,1.0,0.009605153,0.56484944,0.048136645962732816,1.0,0.010053994,0.5768976,87.97142857142856,40,强
