index_code,date,open,close,low,high,volume,money,change
sh000001,2026-05-22,4096.17,4112.9,4067.75,4120.09,58945964400.0,1285847521700.0,0.00873621630106336
sh000001,2026-05-21,4174.38,4077.28,4074.22,4199.53,72721870100.0,1595726694700.0,-0.02039796452820397
sh000001,2026-05-20,4152.70,4162.18,4139.97,4169.85,62415203500.0,1358926939199.9998,-0.0017651827299892675
sh000001,2026-05-19,4122.96,4169.54,4107.99,4170.29,61761106700.0,1306522478000.0,0.00919998160487756
sh000001,2026-05-18,4120.14,4131.53,4108.60,4145.66,62723313700.0,1315084195400.0,-0.0009334065227223354
sh000001,2026-05-15,4174.18,4135.39,4114.09,4191.81,73316235700.0,1519240026500.0,-0.01017970664828427
sh000001,2026-05-14,4256.16,4177.92,4177.92,4258.86,76423500400.0,1498116800600.0,-0.01523840502337015
sh000001,2026-05-13,4192.31,4242.57,4192.31,4245.07,70501873900.0,1447463947700.0,0.006662727874547025
sh000001,2026-05-12,4229.28,4214.49,4199.34,4230.18,71898400200.0,1465272590600.0,-0.0024922958944574303
sh000001,2026-05-11,4201.35,4225.02,4186.08,4229.58,76273628700.0,1584366746200.0,0.010782425627100967
sh000001,2026-05-08,4163.85,4179.95,4154.25,4183.06,69701909400.0,1331673066100.0,-3.349210184477869e-05
sh000001,2026-05-07,4168.45,4180.09,4163.14,4180.21,68557424900.0,1359099510000.0,0.004788265864135388
sh000001,2026-05-06,4135.45,4160.17,4129.91,4166.15,70117748000.0,1465903193400.0,0.011675129372398008
sh000001,2026-04-30,4107.30,4112.16,4100.97,4118.76,65691272800.0,1276194739100.0,0.001132072715586796
sh000001,2026-04-29,4061.82,4107.51,4061.82,4112.15,61422145100.0,1126615371100.0,0.0070783398387699314
sh000001,2026-04-28,4076.14,4078.64,4062.87,4090.20,60050749800.0,1113955561900.0,-0.001884326805894787
sh000001,2026-04-27,4074.81,4086.34,4071.08,4092.83,58995086700.0,1136051921700.0,0.001578470060540793
sh000001,2026-04-24,4081.03,4079.9,4061.15,4092.61,60503179800.0,1143000195100.0,-0.003261467049410549
sh000001,2026-04-23,4110.79,4093.25,4070.46,4114.84,67116609200.0,1234396207600.0,-0.0031683332278034104
sh000001,2026-04-22,4074.81,4106.26,4074.68,4106.84,58246634600.0,1093625892400.0,0.005184720984656499
sh000001,2026-04-21,4075.85,4085.08,4062.13,4086.64,57668945000.0,1033349016200.0,0.0007226619436422332
sh000001,2026-04-20,4053.37,4082.13,4051.69,4083.19,58984137900.0,1084578006400.0,0.007577571376032655
sh000001,2026-04-17,4043.38,4051.43,4038.43,4058.60,54879140600.0,1013520660200.0,-0.0010158918025916508
sh000001,2026-04-16,4030.14,4055.55,4028.91,4057.83,54587696700.0,976565489700.0,0.0070371299236942075
sh000001,2026-04-15,4039.47,4027.21,4020.90,4050.62,56945858900.0,1028851871500.0,0.00014404104673126916
sh000001,2026-04-14,4006.73,4026.63,3992.41,4026.63,57025900300.0,998435132000.0,0.009544798122630871
sh000001,2026-04-13,3971.20,3988.56,3966.20,3991.26,54578176800.0,919436481800.0001,0.0005870222917951917
sh000001,2026-04-10,3985.46,3986.22,3979.81,4011.02,54641554100.0,955664107200.0,0.005055254817619925
sh000001,2026-04-09,3967.63,3966.17,3955.25,3979.13,54156980100.0,902481840100.0,-0.007216520650813463
sh000001,2026-04-08,3930.25,3995.0,3926.25,3995.00,64413535200.0,1074211701300.0,0.02695004832706105
sh000001,2026-04-07,3884.15,3890.16,3875.68,3902.61,47361507600.0,723905837300.0,0.0025927166825596704
sh000001,2026-04-03,3927.59,3880.1,3871.30,3929.53,49269908200.0,713830332099.9999,-0.009999260070063687
sh000001,2026-04-02,3940.80,3919.29,3900.12,3952.58,54421283500.0,811896567000.0,-0.007410315178989824
sh000001,2026-04-01,3939.57,3948.55,3929.92,3955.94,56461159800.0,897278213900.0,0.014566299918290948
sh000001,2026-03-31,3924.07,3891.86,3891.86,3948.81,60670498300.0,891945339599.9999,-0.008011133512944468
sh000001,2026-03-30,3884.28,3923.29,3872.78,3924.29,59558947900.0,839822434700.0,0.0024452439111637414
sh000001,2026-03-27,3852.09,3913.72,3852.09,3924.11,56134296300.0,799696430900.0,0.006335688646157855
sh000001,2026-03-26,3924.96,3889.08,3880.57,3937.10,61597398100.0,848361335100.0,-0.010875315373972572
sh000001,2026-03-25,3892.27,3931.84,3891.82,3933.06,68834362600.0,967854261200.0,0.013026630389974425
sh000001,2026-03-24,3849.63,3881.28,3807.99,3881.42,68062203900.0,931418842700.0,0.01783241723660467
