index_code,date,open,close,low,high,volume,money,change
sz399001,2026-05-22,15382.29,15597.3,15295.57,15624.97,76306727800.0,1617472538500.0,0.022956896546070027
sz399001,2026-05-21,15707.96,15247.27,15232.60,15894.30,87898417400.0,1885877969400.0,-0.020726423540685324
sz399001,2026-05-20,15487.43,15569.98,15426.38,15622.21,72621795800.0,1594787543000.0,4.495851292585229e-06
sz399001,2026-05-19,15469.36,15569.91,15221.35,15585.04,73121652900.0,1580035927600.0,0.0025550168928598627
sz399001,2026-05-18,15465.30,15530.23,15419.04,15658.11,73830560400.0,1578895897800.0,-0.002001109156841707
sz399001,2026-05-15,15753.19,15561.37,15447.40,15855.55,84969563100.0,1825236172800.0,-0.011709198805518128
sz399001,2026-05-14,16202.22,15745.74,15745.74,16207.75,87352549200.0,1864136878600.0002,-0.021380692677014923
sz399001,2026-05-13,15713.54,16089.75,15713.54,16100.46,82734142900.0,1792550090900.0,0.01673499771246867
sz399001,2026-05-12,15952.79,15824.92,15711.27,15952.79,84781714900.0,1777383753899.9998,-0.004678193379582751
sz399001,2026-05-11,15697.44,15899.3,15622.33,15921.65,91163485900.0,1954494738000.0,0.02155643223377335
sz399001,2026-05-08,15520.38,15563.8,15466.84,15639.39,82621848000.0,1716868864500.0,-0.00499236345479992
sz399001,2026-05-07,15541.30,15641.89,15439.48,15652.58,84448988400.0,1784856104500.0,0.011790069872351205
sz399001,2026-05-06,15323.19,15459.62,15254.99,15534.67,82624867700.0,1760931025000.0,0.023304241918775892
sz399001,2026-04-30,15157.07,15107.55,15044.86,15186.12,73770374300.0,1464716733100.0,-0.0008842054583980685
sz399001,2026-04-29,14751.42,15120.92,14751.42,15139.71,73638039800.0,1463521736300.0,0.01958536687331347
sz399001,2026-04-28,14925.22,14830.46,14772.46,14943.36,72372754700.0,1422352274500.0,-0.011022456362636102
sz399001,2026-04-27,14960.02,14995.75,14919.22,15054.46,70993000100.0,1453399425000.0,0.0037114381906655503
sz399001,2026-04-24,14951.74,14940.3,14795.22,15033.67,70972943900.0,1498859076699.9998,-0.0068568047887952455
