code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2001-08-27,34.51,37.78,32.85,35.55,0.132526,40631800.0,1410347179.0,2541825000.0,8887500000.0,0.568277,35.55,2002-04-17,2001-12-31,25.95907585494493,5.4888134743163315,210.1906711770317,3.502281275354618,4.1133027608691775
sh600519,2001-08-28,34.99,37.0,34.61,36.86,0.03685,12964779.0,463463143.0,2635490000.0,9215000000.0,0.181326,36.8600175,2002-04-17,2001-12-31,26.915655021470325,5.691073548897327,217.93609394051722,3.6313386163029886,4.264877967607207
sh600519,2001-08-29,36.98,37.0,36.1,36.38,-0.013022,5325275.0,194689620.0,2601170000.0,9095000000.0,0.0744789999999999,36.380026352115,2002-04-17,2001-12-31,26.565152731445757,5.616962987218795,215.09807643939277,3.5840504303066387,4.209340726713027
sh600519,2001-08-30,36.28,37.51,36.0,37.1,0.019791,4801306.0,177558558.0,2652650000.0,9275000000.0,0.067151,37.10002345364971,2002-04-17,2001-12-31,27.090906166482615,5.728128829736594,219.35510269107948,3.6549827093011635,4.292647789035404
sh600519,2001-08-31,37.15,37.62,36.8,37.01,-0.002426,2323148.0,86231237.0,2646215000.0,9252500000.0,0.032492,37.010018796751154,2002-04-17,2001-12-31,27.025186987103005,5.714233099421868,218.82297440961864,3.6461161744268473,4.282233825499203
sh600519,2001-09-03,37.2,37.57,36.85,36.99,-0.00054,2211209.0,82129438.0,2644785000.0,9247500000.0,0.030926,36.990033386600906,2002-04-17,2001-12-31,27.01058272501865,5.71114515935193,218.70472368040512,3.6441458333436665,4.279921419233434
sh600519,2001-09-04,37.01,38.08,36.88,37.46,0.012706,3700677.0,139204380.0,2678390000.0,9365000000.0,0.051758,37.46002875081106,2002-04-17,2001-12-31,27.353782884001042,5.783711750995494,221.48361581692285,3.6904488487984253,4.334302100786214
sh600519,2001-09-05,37.61,37.92,37.21,37.44,-0.000534,2606695.0,97796243.0,2676960000.0,9360000000.0,0.0364569999999999,37.440025095458125,2002-04-17,2001-12-31,27.339178621916687,5.7806238109255546,221.36536508770934,3.6884785077152435,4.331987583464394
sh600519,2001-09-06,37.35,37.47,36.51,36.7,-0.019765,2899703.0,107078403.0,2624050000.0,9175000000.0,0.040555,36.7000229994464,2002-04-17,2001-12-31,26.79882092479547,5.666370028337817,216.9900881068091,3.6155758876375383,4.24636584887722
sh600519,2001-09-07,36.5,36.95,35.65,35.68,-0.027793,3155225.0,113868743.0,2551120000.0,8920000000.0,0.044129,35.680019260222785,2002-04-17,2001-12-31,26.05400355849325,5.5088850847709345,210.95930091691957,3.5150884923952965,4.128346602839376
sh600519,2001-09-10,35.4,36.85,35.01,36.7,0.028587,1887889.0,68406471.0,2624050000.0,9175000000.0,0.026404,36.70000397081478,2002-04-17,2001-12-31,26.79882092479547,5.666370028337817,216.9900881068091,3.6155758876375383,4.2463636471747455
sh600519,2001-09-11,36.8,36.95,36.2,36.29,-0.011172,1139081.0,41579698.0,2594735000.0,9072500000.0,0.015931,36.28999152645283,2002-04-17,2001-12-31,26.499433552066144,5.60306725690407,214.56594815793193,3.575183895432324,4.198923272508509
