code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz000001,1991-04-03,49.0,49.0,49.0,49.0,0.225,100.0,5000.0,1298500000.0,2376508380.0,4e-06,49.0,1991-04-30,1990-12-31,33.530982433862434,,1.037279305957068,0.8301023713634029,0.3785957183085367
sz000001,1991-04-04,48.76,48.76,48.76,48.76,-0.004898,300.0,15000.0,1292140000.0,2364868340.0,1.1e-05,48.75999800000001,1991-04-30,1990-12-31,33.36674906525573,,1.0321987547104898,0.826036564195172,0.3767413564802615
sz000001,1991-04-05,48.52,48.52,48.52,48.52,-0.004922,200.0,10000.0,1285780000.0,2353228300.0,8e-06,48.520001289844004,1991-04-30,1990-12-31,33.20251569664903,,1.0271182034639117,0.8219707570269411,0.37488703552366565
sz000001,1991-04-06,48.28,48.28,48.28,48.28,-0.004946,700.0,34000.0,1279420000.0,2341588260.0,2.6e-05,48.28002136346443,1991-04-30,1990-12-31,33.03828232804233,,1.0220376522173336,0.8179049498587103,0.37303284424596556
sz000001,1991-04-08,48.04,48.04,48.04,48.04,-0.004971,200.0,10000.0,1273060000.0,2329948210.0,8e-06,48.040021377266655,1991-04-30,1990-12-31,32.87404881834215,,1.0169570966060355,0.8138391391975298,0.3711784979772189
sz000001,1991-04-09,47.8,47.8,47.8,47.8,-0.004996,400.0,19000.0,1266700000.0,2318308170.0,1.5e-05,47.800013430465825,1991-04-30,1990-12-31,32.70981544973545,,1.0118765453594571,0.8097733320292989,0.36932409020132473
sz000001,1991-04-10,47.56,47.56,47.56,47.56,-0.005021,1500.0,71000.0,1260340000.0,2306668130.0,5.7e-05,47.56000956303146,1991-04-30,1990-12-31,32.54558208112875,,1.006795994112879,0.8057075248610679,0.36746971394442385
sz000001,1991-04-12,47.08,47.08,47.08,47.08,-0.010093,800.0,38000.0,1247620000.0,2283388050.0,3e-05,47.07998638651177,1991-04-30,1990-12-31,32.217115343915346,,0.9966348916197226,0.797575910524606,0.3637608421215827
sz000001,1991-04-13,46.84,46.84,46.84,46.84,-0.005098,500.0,23000.0,1241260000.0,2271748010.0,1.9e-05,46.83997261591333,1991-04-30,1990-12-31,32.052881975308644,,0.9915543403731446,0.7935101033563752,0.3619063893484469
sz000001,1991-04-16,46.38,46.38,46.38,46.38,-0.009821,200.0,9000.0,1229070000.0,2249437930.0,8e-06,46.37995724485245,1991-04-30,1990-12-31,31.738101305114636,,0.9818166156956297,0.785717305119616,0.3583521066986558
sz000001,1991-04-17,46.15,46.15,46.15,46.15,-0.004959,100.0,5000.0,1222975000.0,2238282890.0,4e-06,46.149959036875224,1991-04-30,1990-12-31,31.58071097001764,,0.9769477533568725,0.7818209060012365,0.35657503860153716
sz000001,1991-04-18,45.92,45.92,45.92,45.92,-0.004984,400.0,18000.0,1216880000.0,2227127850.0,1.5e-05,45.919947641035435,1991-04-30,1990-12-31,31.423320634920636,,0.9720788910181151,0.7779245068828571,0.3547978686091471
sz000001,1991-04-19,45.69,45.69,45.69,45.69,-0.005009,200.0,9000.0,1210785000.0,2215972810.0,8e-06,45.68993462330149,1991-04-30,1990-12-31,31.26593029982363,,0.9672100286793576,0.7740281077644774,0.35302068608528386
